#N	J	h	<m>	<m>_err	<e>	<e>_err
4	0.250000	1.000000	0.958375	0.075531	-1.418781	0.144384
4	0.250000	0.900000	0.945812	0.088792	-1.300700	0.157558
4	0.250000	0.800000	0.934937	0.098630	-1.187950	0.163411
4	0.250000	0.700000	0.915125	0.116455	-1.065056	0.175098
4	0.250000	0.600000	0.889000	0.135177	-0.936744	0.186514
4	0.250000	0.500000	0.854187	0.166854	-0.806187	0.200330
4	0.250000	0.400000	0.807125	0.196618	-0.670131	0.202744
4	0.250000	0.300000	0.731187	0.244433	-0.522888	0.207323
4	0.250000	0.200000	0.576625	0.334693	-0.355731	0.202068
4	0.250000	0.100000	0.327688	0.452894	-0.219050	0.160945
4	0.250000	0.000000	0.007250	0.504071	-0.158719	0.123419
4	0.250000	-0.100000	-0.379250	0.433389	-0.230519	0.166705
4	0.250000	-0.200000	-0.597500	0.334888	-0.367000	0.205926
4	0.250000	-0.300000	-0.732812	0.255000	-0.527500	0.209035
4	0.250000	-0.400000	-0.807063	0.196179	-0.670575	0.205373
4	0.250000	-0.500000	-0.868313	0.149198	-0.821375	0.186171
4	0.250000	-0.600000	-0.897875	0.126584	-0.947537	0.178322
4	0.250000	-0.700000	-0.917438	0.110485	-1.067675	0.168591
4	0.250000	-0.800000	-0.933375	0.100071	-1.185419	0.164909
4	0.250000	-0.900000	-0.944937	0.092573	-1.299663	0.162222
4	0.250000	-1.000000	-0.960500	0.074282	-1.423094	0.141426
4	0.275000	1.000000	0.966063	0.070355	-1.480553	0.141202
4	0.275000	0.900000	0.957812	0.077821	-1.368753	0.145669
4	0.275000	0.800000	0.945438	0.088209	-1.250525	0.155516
4	0.275000	0.700000	0.931813	0.102159	-1.134103	0.164580
4	0.275000	0.600000	0.913375	0.117776	-1.012913	0.175897
4	0.275000	0.500000	0.883813	0.146070	-0.882903	0.190301
4	0.275000	0.400000	0.839750	0.179604	-0.745409	0.201109
4	0.275000	0.300000	0.782500	0.234467	-0.606859	0.214527
4	0.275000	0.200000	0.656687	0.318057	-0.438581	0.215325
4	0.275000	0.100000	0.417125	0.457804	-0.282509	0.183759
4	0.275000	0.000000	-0.001000	0.559589	-0.206697	0.148067
4	0.275000	-0.100000	-0.441188	0.457133	-0.290587	0.189428
4	0.275000	-0.200000	-0.653625	0.325542	-0.439378	0.215153
4	0.275000	-0.300000	-0.774188	0.232145	-0.599656	0.213570
4	0.275000	-0.400000	-0.843750	0.176445	-0.748659	0.199003
4	0.275000	-0.500000	-0.888750	0.139860	-0.889016	0.185775
4	0.275000	-0.600000	-0.907937	0.122797	-1.005663	0.180808
4	0.275000	-0.700000	-0.934250	0.099320	-1.137563	0.161783
4	0.275000	-0.800000	-0.949000	0.085012	-1.257019	0.150025
4	0.275000	-0.900000	-0.955812	0.078016	-1.364341	0.147150
4	0.275000	-1.000000	-0.968625	0.065907	-1.485625	0.132679
4	0.300000	1.000000	0.970437	0.065020	-1.536575	0.136168
4	0.300000	0.900000	0.970000	0.064880	-1.438763	0.129298
4	0.300000	0.800000	0.959125	0.076349	-1.321175	0.143086
4	0.300000	0.700000	0.945063	0.095553	-1.201656	0.163391
4	0.300000	0.600000	0.933500	0.105695	-1.088438	0.167417
4	0.300000	0.500000	0.905813	0.131858	-0.955519	0.187161
4	0.300000	0.400000	0.873250	0.159727	-0.824537	0.197222
4	0.300000	0.300000	0.808000	0.243724	-0.677063	0.220358
4	0.300000	0.200000	0.711000	0.306942	-0.515700	0.220680
4	0.300000	0.100000	0.500125	0.460231	-0.355788	0.207238
4	0.300000	0.000000	-0.041188	0.596827	-0.255675	0.165387
4	0.300000	-0.100000	-0.478187	0.476348	-0.346319	0.210169
4	0.300000	-0.200000	-0.723250	0.281408	-0.518037	0.221164
4	0.300000	-0.300000	-0.823438	0.215506	-0.688331	0.211831
4	0.300000	-0.400000	-0.884375	0.148607	-0.837575	0.187470
4	0.300000	-0.500000	-0.903563	0.131891	-0.952031	0.186380
4	0.300000	-0.600000	-0.931063	0.100960	-1.083788	0.162207
4	0.300000	-0.700000	-0.946688	0.088706	-1.203769	0.152561
4	0.300000	-0.800000	-0.953875	0.080607	-1.311313	0.150397
4	0.300000	-0.900000	-0.964938	0.070580	-1.428619	0.139721
4	0.300000	-1.000000	-0.972375	0.061002	-1.540612	0.128256
4	0.325000	1.000000	0.975437	0.057539	-1.594725	0.127857
4	0.325000	0.900000	0.973562	0.061969	-1.493341	0.129890
4	0.325000	0.800000	0.968688	0.067286	-1.386275	0.133583
4	0.325000	0.700000	0.955313	0.080302	-1.264566	0.148343
4	0.325000	0.600000	0.943500	0.097283	-1.150206	0.162176
4	0.325000	0.500000	0.923125	0.117445	-1.024016	0.174965
4	0.325000	0.400000	0.898188	0.139591	-0.897434	0.188622
4	0.325000	0.300000	0.859500	0.183738	-0.764647	0.204329
4	0.325000	0.200000	0.760625	0.281035	-0.593922	0.228998
4	0.325000	0.100000	0.559438	0.467563	-0.429572	0.219823
4	0.325000	0.000000	0.019625	0.648488	-0.312406	0.183973
4	0.325000	-0.100000	-0.573625	0.461453	-0.438263	0.222336
4	0.325000	-0.200000	-0.784062	0.269381	-0.615428	0.219458
4	0.325000	-0.300000	-0.848875	0.188635	-0.749881	0.213408
4	0.325000	-0.400000	-0.898500	0.142339	-0.897966	0.194191
4	0.325000	-0.500000	-0.926063	0.112405	-1.027963	0.174236
4	0.325000	-0.600000	-0.941500	0.099214	-1.146122	0.166651
4	0.325000	-0.700000	-0.955875	0.081814	-1.266462	0.148449
4	0.325000	-0.800000	-0.964875	0.070272	-1.378634	0.138971
4	0.325000	-0.900000	-0.972063	0.063682	-1.490447	0.132220
4	0.325000	-1.000000	-0.976500	0.058048	-1.597331	0.127407
4	0.350000	1.000000	0.982125	0.049773	-1.658194	0.113556
4	0.350000	0.900000	0.977875	0.054868	-1.550206	0.121120
4	0.350000	0.800000	0.969125	0.065906	-1.434000	0.137786
4	0.350000	0.700000	0.965187	0.072773	-1.330394	0.140155
4	0.350000	0.600000	0.953250	0.086252	-1.212144	0.154493
4	0.350000	0.500000	0.940625	0.097498	-1.095194	0.162222
4	0.350000	0.400000	0.919750	0.124990	-0.972525	0.179737
4	0.350000	0.300000	0.883250	0.177775	-0.837181	0.202280
4	0.350000	0.200000	0.827812	0.232076	-0.691306	0.217208
4	0.350000	0.100000	0.628687	0.451951	-0.507894	0.229550
4	0.350000	0.000000	-0.041125	0.709068	-0.388413	0.204182
4	0.350000	-0.100000	-0.611313	0.495393	-0.517137	0.229428
4	0.350000	-0.200000	-0.830688	0.226241	-0.693850	0.220059
4	0.350000	-0.300000	-0.883875	0.171389	-0.836144	0.200642
4	0.350000	-0.400000	-0.912312	0.132252	-0.960844	0.190295
4	0.350000	-0.500000	-0.942187	0.100046	-1.098513	0.165016
4	0.350000	-0.600000	-0.953500	0.087822	-1.212513	0.156375
4	0.350000	-0.700000	-0.964562	0.075842	-1.329563	0.143989
4	0.350000	-0.800000	-0.970437	0.066211	-1.437237	0.136620
4	0.350000	-0.900000	-0.977500	0.054715	-1.549475	0.120552
4	0.350000	-1.000000	-0.983500	0.049620	-1.661537	0.113333
4	0.375000	1.000000	0.984875	0.043546	-1.712562	0.106753
4	0.375000	0.900000	0.983250	0.049693	-1.610925	0.113143
4	0.375000	0.800000	0.977313	0.058438	-1.499647	0.125727
4	0.375000	0.700000	0.969750	0.067481	-1.386544	0.137386
4	0.375000	0.600000	0.963625	0.075655	-1.277831	0.143043
4	0.375000	0.500000	0.949375	0.092785	-1.156297	0.162802
4	0.375000	0.400000	0.931063	0.114520	-1.032097	0.177487
4	0.375000	0.300000	0.919000	0.134170	-0.924309	0.183777
4	0.375000	0.200000	0.860000	0.218503	-0.771063	0.217765
4	0.375000	0.100000	0.659563	0.489372	-0.590534	0.240758
4	0.375000	0.000000	-0.005250	0.773034	-0.481922	0.217608
4	0.375000	-0.100000	-0.679188	0.474977	-0.603559	0.236651
4	0.375000	-0.200000	-0.861250	0.202056	-0.767234	0.214726
4	0.375000	-0.300000	-0.906375	0.153806	-0.909225	0.194391
4	0.375000	-0.400000	-0.933500	0.112706	-1.036963	0.174429
4	0.375000	-0.500000	-0.949125	0.092056	-1.155609	0.160030
4	0.375000	-0.600000	-0.963375	0.078973	-1.278197	0.147152
4	0.375000	-0.700000	-0.973938	0.060985	-1.394491	0.126860
4	0.375000	-0.800000	-0.978125	0.055393	-1.500953	0.120966
4	0.375000	-0.900000	-0.980000	0.052797	-1.603125	0.121172
4	0.375000	-1.000000	-0.986250	0.044529	-1.716375	0.106897
4	0.400000	1.000000	0.989062	0.039891	-1.772163	0.100080
4	0.400000	0.900000	0.985750	0.045758	-1.665175	0.109557
4	0.400000	0.800000	0.981875	0.049367	-1.557400	0.114172
4	0.400000	0.700000	0.976313	0.060543	-1.448019	0.127892
4	0.400000	0.600000	0.971625	0.062808	-1.339725	0.129545
4	0.400000	0.500000	0.960500	0.081312	-1.223150	0.146533
4	0.400000	0.400000	0.947187	0.097947	-1.104375	0.165672
4	0.400000	0.300000	0.921875	0.140222	-0.975462	0.183495
4	0.400000	0.200000	0.890437	0.183339	-0.844638	0.205499
4	0.400000	0.100000	0.729375	0.455020	-0.680788	0.228987
4	0.400000	0.000000	0.019000	0.808943	-0.553000	0.225213
4	0.400000	-0.100000	-0.765625	0.419586	-0.698813	0.224346
4	0.400000	-0.200000	-0.892750	0.186992	-0.849300	0.200925
4	0.400000	-0.300000	-0.926438	0.127669	-0.979881	0.182021
4	0.400000	-0.400000	-0.949063	0.090264	-1.106075	0.156802
4	0.400000	-0.500000	-0.961875	0.083195	-1.225837	0.151933
4	0.400000	-0.600000	-0.970063	0.068023	-1.337288	0.137416
4	0.400000	-0.700000	-0.975313	0.059226	-1.445219	0.128297
4	0.400000	-0.800000	-0.981437	0.051150	-1.556650	0.116943
4	0.400000	-0.900000	-0.986313	0.044460	-1.666581	0.106647
4	0.400000	-1.000000	-0.988125	0.039721	-1.769525	0.100772
4	0.425000	1.000000	0.989625	0.037314	-1.822359	0.098532
4	0.425000	0.900000	0.987375	0.041608	-1.717759	0.104813
4	0.425000	0.800000	0.983688	0.048809	-1.610494	0.115811
4	0.425000	0.700000	0.979563	0.055448	-1.503075	0.123034
4	0.425000	0.600000	0.973250	0.068031	-1.392353	0.139860
4	0.425000	0.500000	0.970500	0.069294	-1.289191	0.135598
4	0.425000	0.400000	0.961313	0.080691	-1.174866	0.149151
4	0.425000	0.300000	0.945562	0.102838	-1.052494	0.165107
4	0.425000	0.200000	0.908125	0.177032	-0.914484	0.197376
4	0.425000	0.100000	0.787375	0.425764	-0.773241	0.223885
4	0.425000	0.000000	-0.083687	0.845653	-0.632347	0.222622
4	0.425000	-0.100000	-0.782500	0.418356	-0.760959	0.227694
4	0.425000	-0.200000	-0.901563	0.222919	-0.918272	0.198702
4	0.425000	-0.300000	-0.931688	0.158402	-1.040044	0.186631
4	0.425000	-0.400000	-0.960500	0.083773	-1.173531	0.151806
4	0.425000	-0.500000	-0.967375	0.073301	-1.282156	0.144998
4	0.425000	-0.600000	-0.976688	0.060688	-1.398772	0.129019
4	0.425000	-0.700000	-0.980062	0.053482	-1.503691	0.120100
4	0.425000	-0.800000	-0.984688	0.045328	-1.612516	0.109499
4	0.425000	-0.900000	-0.989125	0.039017	-1.722256	0.098127
4	0.425000	-1.000000	-0.989000	0.039579	-1.820991	0.102374
4	0.450000	1.000000	0.993062	0.030470	-1.880913	0.082809
4	0.450000	0.900000	0.990187	0.038189	-1.774350	0.097624
4	0.450000	0.800000	0.987875	0.041943	-1.669375	0.103432
4	0.450000	0.700000	0.985437	0.043826	-1.564325	0.105951
4	0.450000	0.600000	0.979250	0.056381	-1.452169	0.125866
4	0.450000	0.500000	0.974688	0.063921	-1.344875	0.133027
4	0.450000	0.400000	0.963875	0.078410	-1.226881	0.149053
4	0.450000	0.300000	0.957313	0.090991	-1.119469	0.154761
4	0.450000	0.200000	0.934312	0.131894	-0.991575	0.179964
4	0.450000	0.100000	0.765563	0.514372	-0.848700	0.213148
4	0.450000	0.000000	-0.244250	0.858841	-0.731306	0.219245
4	0.450000	-0.100000	-0.799125	0.438491	-0.839006	0.221153
4	0.450000	-0.200000	-0.919125	0.190246	-0.980212	0.196178
4	0.450000	-0.300000	-0.953875	0.096164	-1.113938	0.162185
4	0.450000	-0.400000	-0.967187	0.074330	-1.233550	0.143239
4	0.450000	-0.500000	-0.974313	0.065463	-1.344575	0.133319
4	0.450000	-0.600000	-0.981250	0.052812	-1.456744	0.118009
4	0.450000	-0.700000	-0.986375	0.044215	-1.566725	0.105950
4	0.450000	-0.800000	-0.986812	0.043006	-1.666612	0.106873
4	0.450000	-0.900000	-0.990750	0.033894	-1.775194	0.090412
4	0.450000	-1.000000	-0.992437	0.031084	-1.878994	0.085821
4	0.475000	1.000000	0.994375	0.026509	-1.933747	0.076373
4	0.475000	0.900000	0.992812	0.030922	-1.830172	0.084426
4	0.475000	0.800000	0.988250	0.040729	-1.719225	0.104165
4	0.475000	0.700000	0.986812	0.043905	-1.616781	0.107355
4	0.475000	0.600000	0.983563	0.049562	-1.510628	0.115014
4	0.475000	0.500000	0.981187	0.054465	-1.406987	0.117984
4	0.475000	0.400000	0.975250	0.065407	-1.297291	0.130547
4	0.475000	0.300000	0.964313	0.083572	-1.180156	0.149960
4	0.475000	0.200000	0.932875	0.182030	-1.047988	0.184599
4	0.475000	0.100000	0.894250	0.295917	-0.938191	0.191895
4	0.475000	0.000000	0.090188	0.897087	-0.785888	0.220922
4	0.475000	-0.100000	-0.852625	0.406470	-0.936225	0.180758
4	0.475000	-0.200000	-0.949750	0.107412	-1.058666	0.168054
4	0.475000	-0.300000	-0.969938	0.071004	-1.188969	0.135531
4	0.475000	-0.400000	-0.976562	0.063411	-1.299419	0.129441
4	0.475000	-0.500000	-0.978500	0.060521	-1.401784	0.129219
4	0.475000	-0.600000	-0.983750	0.049545	-1.511156	0.114226
4	0.475000	-0.700000	-0.988000	0.040847	-1.619572	0.100949
4	0.475000	-0.800000	-0.990250	0.036852	-1.724328	0.095551
4	0.475000	-0.900000	-0.993313	0.030010	-1.831631	0.081347
4	0.475000	-1.000000	-0.994188	0.026908	-1.933262	0.077039
4	0.500000	1.000000	0.995125	0.026363	-1.985750	0.075829
4	0.500000	0.900000	0.993687	0.029034	-1.881881	0.082751
4	0.500000	0.800000	0.992687	0.031394	-1.779838	0.085681
4	0.500000	0.700000	0.991688	0.034704	-1.677994	0.090670
4	0.500000	0.600000	0.986812	0.043548	-1.566650	0.107327
4	0.500000	0.500000	0.981688	0.053915	-1.456344	0.124241
4	0.500000	0.400000	0.980000	0.058550	-1.355250	0.120613
4	0.500000	0.300000	0.971562	0.071670	-1.239844	0.141716
4	0.500000	0.200000	0.961938	0.091240	-1.127575	0.157986
4	0.500000	0.100000	0.937312	0.158804	-1.001794	0.174987
4	0.500000	0.000000	-0.258125	0.899659	-0.885875	0.188391
4	0.500000	-0.100000	-0.895188	0.328905	-1.002831	0.177588
4	0.500000	-0.200000	-0.901375	0.345766	-1.113338	0.173124
4	0.500000	-0.300000	-0.972812	0.072262	-1.243094	0.138878
4	0.500000	-0.400000	-0.979812	0.054832	-1.353800	0.121652
4	0.500000	-0.500000	-0.983313	0.050417	-1.460094	0.116572
4	0.500000	-0.600000	-0.987375	0.044335	-1.568675	0.106269
4	0.500000	-0.700000	-0.989125	0.041161	-1.671887	0.102649
4	0.500000	-0.800000	-0.991938	0.032196	-1.777675	0.088426
4	0.500000	-0.900000	-0.993250	0.029865	-1.880613	0.084765
4	0.500000	-1.000000	-0.994437	0.027816	-1.983688	0.079890
4	0.525000	1.000000	0.995812	0.023177	-2.037019	0.071847
4	0.525000	0.900000	0.993687	0.029567	-1.931522	0.084706
4	0.525000	0.800000	0.993250	0.030384	-1.830819	0.084747
4	0.525000	0.700000	0.991000	0.035093	-1.725456	0.094101
4	0.525000	0.600000	0.988938	0.041583	-1.621313	0.103744
4	0.525000	0.500000	0.987375	0.045208	-1.518553	0.107289
4	0.525000	0.400000	0.983875	0.048951	-1.411262	0.113903
4	0.525000	0.300000	0.976063	0.069465	-1.297800	0.135323
4	0.525000	0.200000	0.972000	0.072114	-1.191966	0.135925
4	0.525000	0.100000	0.811000	0.520484	-1.057731	0.168242
4	0.525000	0.000000	-0.125375	0.944300	-0.956419	0.169543
4	0.525000	-0.100000	-0.894500	0.364899	-1.071463	0.159085
4	0.525000	-0.200000	-0.881875	0.409897	-1.169478	0.175457
4	0.525000	-0.300000	-0.979750	0.055022	-1.304025	0.119881
4	0.525000	-0.400000	-0.986125	0.046884	-1.417150	0.106358
4	0.525000	-0.500000	-0.987625	0.043157	-1.519072	0.104266
4	0.525000	-0.600000	-0.989750	0.040171	-1.623441	0.098372
4	0.525000	-0.700000	-0.991625	0.035025	-1.727272	0.093061
4	0.525000	-0.800000	-0.992250	0.032872	-1.827919	0.091980
4	0.525000	-0.900000	-0.995000	0.026041	-1.935328	0.075258
4	0.525000	-1.000000	-0.995812	0.023841	-2.037281	0.071391
4	0.550000	1.000000	0.997375	0.018354	-2.091669	0.057880
4	0.550000	0.900000	0.995250	0.025482	-1.985550	0.075973
4	0.550000	0.800000	0.993687	0.030349	-1.881681	0.085939
4	0.550000	0.700000	0.992938	0.030184	-1.779656	0.086528
4	0.550000	0.600000	0.991812	0.033822	-1.677762	0.089744
4	0.550000	0.500000	0.990750	0.036556	-1.575781	0.093745
4	0.550000	0.400000	0.987563	0.041571	-1.468969	0.100526
4	0.550000	0.300000	0.983563	0.054659	-1.362138	0.115704
4	0.550000	0.200000	0.978250	0.065279	-1.253300	0.126954
4	0.550000	0.100000	0.942250	0.232263	-1.132006	0.154343
4	0.550000	0.000000	-0.210813	0.941311	-1.026919	0.156049
4	0.550000	-0.100000	-0.802500	0.544971	-1.116588	0.162141
4	0.550000	-0.200000	-0.975313	0.064165	-1.245838	0.133448
4	0.550000	-0.300000	-0.981187	0.056988	-1.356406	0.122899
4	0.550000	-0.400000	-0.985750	0.049054	-1.465288	0.111797
4	0.550000	-0.500000	-0.989500	0.039715	-1.572681	0.100553
4	0.550000	-0.600000	-0.992313	0.033005	-1.678956	0.087871
4	0.550000	-0.700000	-0.993875	0.028939	-1.782513	0.081805
4	0.550000	-0.800000	-0.994875	0.025409	-1.884763	0.075016
4	0.550000	-0.900000	-0.995188	0.024373	-1.985150	0.074924
4	0.550000	-1.000000	-0.997250	0.019572	-2.091337	0.061023
4	0.575000	1.000000	0.997125	0.019150	-2.140513	0.063196
4	0.575000	0.900000	0.996188	0.022210	-2.037944	0.069608
4	0.575000	0.800000	0.996687	0.021212	-1.939875	0.064226
4	0.575000	0.700000	0.994687	0.029763	-1.834925	0.080504
4	0.575000	0.600000	0.992250	0.033809	-1.728100	0.093383
4	0.575000	0.500000	0.992437	0.033736	-1.629759	0.088248
4	0.575000	0.400000	0.989313	0.039169	-1.522006	0.100340
4	0.575000	0.300000	0.986812	0.047330	-1.417509	0.111571
4	0.575000	0.200000	0.981437	0.056381	-1.306756	0.124211
4	0.575000	0.100000	0.978125	0.062422	-1.202459	0.125593
4	0.575000	0.000000	0.774813	0.582721	-1.082294	0.153763
4	0.575000	-0.100000	-0.639188	0.735236	-1.156203	0.162231
4	0.575000	-0.200000	-0.982000	0.060887	-1.309456	0.122907
4	0.575000	-0.300000	-0.985250	0.047116	-1.413662	0.110974
4	0.575000	-0.400000	-0.990125	0.036606	-1.524056	0.094291
4	0.575000	-0.500000	-0.991375	0.036708	-1.626856	0.094750
4	0.575000	-0.600000	-0.992938	0.032430	-1.730094	0.088453
4	0.575000	-0.700000	-0.995062	0.025902	-1.835403	0.075267
4	0.575000	-0.800000	-0.996563	0.021558	-1.939559	0.064556
4	0.575000	-0.900000	-0.996687	0.020463	-2.039400	0.065480
4	0.575000	-1.000000	-0.996687	0.020463	-2.139141	0.066732
4	0.600000	1.000000	0.998062	0.015939	-2.193487	0.053119
4	0.600000	0.900000	0.996938	0.020501	-2.090119	0.065147
4	0.600000	0.800000	0.996500	0.022782	-1.989175	0.068422
4	0.600000	0.700000	0.995875	0.023688	-1.887513	0.070568
4	0.600000	0.600000	0.994062	0.029113	-1.782713	0.082751
4	0.600000	0.500000	0.992875	0.033715	-1.680312	0.087492
4	0.600000	0.400000	0.990750	0.036126	-1.575075	0.095197
4	0.600000	0.300000	0.989062	0.038900	-1.471219	0.100367
4	0.600000	0.200000	0.986938	0.042862	-1.367613	0.102775
4	0.600000	0.100000	0.981062	0.054421	-1.256106	0.117833
4	0.600000	0.000000	0.771813	0.599310	-1.147125	0.138557
4	0.600000	-0.100000	-0.981313	0.057166	-1.257256	0.120615
4	0.600000	-0.200000	-0.985750	0.048574	-1.365350	0.111750
4	0.600000	-0.300000	-0.987062	0.044157	-1.466869	0.109632
4	0.600000	-0.400000	-0.990750	0.037609	-1.575225	0.096540
4	0.600000	-0.500000	-0.994250	0.027918	-1.683700	0.077974
4	0.600000	-0.600000	-0.994563	0.027559	-1.784063	0.079065
4	0.600000	-0.700000	-0.995812	0.024488	-1.887319	0.073146
4	0.600000	-0.800000	-0.996687	0.020841	-1.989475	0.065882
4	0.600000	-0.900000	-0.996625	0.020642	-2.088937	0.067302
4	0.600000	-1.000000	-0.997437	0.018574	-2.191362	0.062235
4	0.625000	1.000000	0.998750	0.013050	-2.245625	0.045676
4	0.625000	0.900000	0.998062	0.015441	-2.143413	0.052500
4	0.625000	0.800000	0.996750	0.021037	-2.039509	0.066891
4	0.625000	0.700000	0.996000	0.024036	-1.937669	0.072465
4	0.625000	0.600000	0.996250	0.022044	-1.838531	0.066751
4	0.625000	0.500000	0.992313	0.032528	-1.727484	0.093877
4	0.625000	0.400000	0.992750	0.032509	-1.629756	0.088433
4	0.625000	0.300000	0.991750	0.035054	-1.527916	0.090811
4	0.625000	0.200000	0.985938	0.049819	-1.415469	0.115776
4	0.625000	0.100000	0.985563	0.049869	-1.315744	0.112356
4	0.625000	0.000000	0.702812	0.684071	-1.202813	0.132932
4	0.625000	-0.100000	-0.986500	0.048948	-1.318103	0.106910
4	0.625000	-0.200000	-0.985688	0.047168	-1.413700	0.114748
4	0.625000	-0.300000	-0.991313	0.035940	-1.526691	0.092587
4	0.625000	-0.400000	-0.993375	0.032402	-1.631647	0.085757
4	0.625000	-0.500000	-0.993250	0.033561	-1.731000	0.089951
4	0.625000	-0.600000	-0.994875	0.026017	-1.834425	0.077967
4	0.625000	-0.700000	-0.995750	0.023333	-1.936556	0.073169
4	0.625000	-0.800000	-0.998250	0.015209	-2.044225	0.050190
4	0.625000	-0.900000	-0.997375	0.017923	-2.141075	0.060938
4	0.625000	-1.000000	-0.998125	0.015194	-2.243438	0.053179
4	0.650000	1.000000	0.998687	0.012741	-2.295275	0.045869
4	0.650000	0.900000	0.998000	0.016175	-2.193081	0.055471
4	0.650000	0.800000	0.997313	0.018973	-2.090944	0.063543
4	0.650000	0.700000	0.996812	0.021596	-1.989806	0.067043
4	0.650000	0.600000	0.997500	0.018371	-1.892081	0.057797
4	0.650000	0.500000	0.996000	0.024678	-1.788088	0.071333
4	0.650000	0.400000	0.994938	0.026178	-1.685137	0.075782
4	0.650000	0.300000	0.992750	0.032986	-1.579869	0.087585
4	0.650000	0.200000	0.991313	0.037011	-1.476894	0.093274
4	0.650000	0.100000	0.988563	0.044918	-1.371963	0.102864
4	0.650000	0.000000	0.941625	0.290391	-1.261813	0.118611
4	0.650000	-0.100000	-0.989875	0.038617	-1.374044	0.095592
4	0.650000	-0.200000	-0.990187	0.039595	-1.473906	0.099786
4	0.650000	-0.300000	-0.993188	0.031506	-1.580894	0.085220
4	0.650000	-0.400000	-0.993313	0.030269	-1.680587	0.086036
4	0.650000	-0.500000	-0.995875	0.023019	-1.787375	0.069790
4	0.650000	-0.600000	-0.996875	0.020300	-1.890081	0.064069
4	0.650000	-0.700000	-0.996500	0.021728	-1.988531	0.070869
4	0.650000	-0.800000	-0.997062	0.019744	-2.090175	0.065265
4	0.650000	-0.900000	-0.998313	0.014957	-2.194175	0.051112
4	0.650000	-1.000000	-0.998250	0.014686	-2.293700	0.052871
4	0.675000	1.000000	0.998812	0.012754	-2.345691	0.045668
4	0.675000	0.900000	0.998188	0.015954	-2.243559	0.056233
4	0.675000	0.800000	0.998313	0.014425	-2.144094	0.050489
4	0.675000	0.700000	0.997313	0.018973	-2.041031	0.062497
4	0.675000	0.600000	0.997062	0.019744	-1.940475	0.063232
4	0.675000	0.500000	0.996437	0.022600	-1.838937	0.068177
4	0.675000	0.400000	0.994812	0.026745	-1.734256	0.079474
4	0.675000	0.300000	0.993812	0.030885	-1.632197	0.084909
4	0.675000	0.200000	0.992875	0.032536	-1.530350	0.087444
4	0.675000	0.100000	0.991688	0.037097	-1.428328	0.091366
4	0.675000	0.000000	-0.925000	0.349531	-1.320216	0.107703
4	0.675000	-0.100000	-0.990313	0.040792	-1.424816	0.100648
4	0.675000	-0.200000	-0.992437	0.035760	-1.529166	0.092648
4	0.675000	-0.300000	-0.992687	0.032615	-1.628738	0.092768
4	0.675000	-0.400000	-0.995000	0.026926	-1.734838	0.080287
4	0.675000	-0.500000	-0.996437	0.021538	-1.838769	0.067174
4	0.675000	-0.600000	-0.996875	0.019912	-1.939687	0.065709
4	0.675000	-0.700000	-0.998062	0.016422	-2.043581	0.053491
4	0.675000	-0.800000	-0.997687	0.017301	-2.141991	0.059455
4	0.675000	-0.900000	-0.998125	0.015194	-2.243250	0.054699
4	0.675000	-1.000000	-0.998375	0.014159	-2.343987	0.052389
4	0.700000	1.000000	0.999375	0.008817	-2.397625	0.033503
4	0.700000	0.900000	0.998437	0.013888	-2.294219	0.051385
4	0.700000	0.800000	0.998812	0.012754	-2.195725	0.045913
4	0.700000	0.700000	0.998250	0.015209	-2.093962	0.051931
4	0.700000	0.600000	0.997437	0.018990	-1.991550	0.061425
4	0.700000	0.500000	0.996938	0.019725	-1.889981	0.064106
4	0.700000	0.400000	0.996437	0.022251	-1.788950	0.067669
4	0.700000	0.300000	0.995875	0.023356	-1.687475	0.069913
4	0.700000	0.200000	0.993938	0.029882	-1.582600	0.083189
4	0.700000	0.100000	0.991437	0.037040	-1.476481	0.097017
4	0.700000	0.000000	-0.990563	0.040466	-1.375500	0.098747
4	0.700000	-0.100000	-0.993938	0.030656	-1.483381	0.080728
4	0.700000	-0.200000	-0.993125	0.031369	-1.579987	0.088898
4	0.700000	-0.300000	-0.995500	0.025219	-1.686575	0.073515
4	0.700000	-0.400000	-0.996625	0.021386	-1.789463	0.065688
4	0.700000	-0.500000	-0.996500	0.020997	-1.888450	0.069290
4	0.700000	-0.600000	-0.997563	0.017731	-1.991800	0.059179
4	0.700000	-0.700000	-0.997375	0.018775	-2.090900	0.064666
4	0.700000	-0.800000	-0.998375	0.014159	-2.194150	0.050973
4	0.700000	-0.900000	-0.998313	0.014957	-2.293844	0.054011
4	0.700000	-1.000000	-0.998812	0.012125	-2.395488	0.046077
4	0.725000	1.000000	0.999500	0.007890	-2.448050	0.030770
4	0.725000	0.900000	0.999000	0.011816	-2.346291	0.043141
4	0.725000	0.800000	0.998875	0.011805	-2.245837	0.043679
4	0.725000	0.700000	0.997938	0.017333	-2.142847	0.058800
4	0.725000	0.600000	0.997563	0.017284	-2.041469	0.060495
4	0.725000	0.500000	0.996625	0.021017	-1.938706	0.069536
4	0.725000	0.400000	0.996812	0.020860	-1.839662	0.066906
4	0.725000	0.300000	0.997000	0.019535	-1.740400	0.062513
4	0.725000	0.200000	0.995250	0.026971	-1.635728	0.077851
4	0.725000	0.100000	0.994188	0.029932	-1.533197	0.084737
4	0.725000	0.000000	0.991187	0.039830	-1.426891	0.096972
4	0.725000	-0.100000	0.989688	0.043065	-1.323481	0.102555
