#h	T	<m>	<m>_err
-1.000000	0.200000	-1.000000	0.000000
-1.000000	0.400000	-0.999999	0.000261
-1.000000	0.600000	-0.999914	0.003386
-1.000000	0.800000	-0.998580	0.014457
-1.000000	1.000000	-0.992306	0.035072
-1.000000	1.200000	-0.983311	0.054637
-1.000000	1.400000	-0.958310	0.089112
-1.000000	1.600000	-0.933470	0.117648
-1.000000	1.800000	-0.890353	0.154390
-1.000000	2.000000	-0.812933	0.192257
-1.000000	2.200000	-0.765805	0.217602
-1.000000	2.400000	-0.710133	0.238996
-1.000000	2.600000	-0.650560	0.255006
-1.000000	2.800000	-0.598809	0.262546
-1.000000	3.000000	-0.553995	0.273538
-1.000000	3.200000	-0.510817	0.278429
-1.000000	3.400000	-0.471922	0.281260
-1.000000	3.600000	-0.440572	0.286282
-1.000000	3.800000	-0.409681	0.286709
-1.000000	4.000000	-0.386434	0.290602
-1.000000	4.200000	-0.360556	0.287901
-1.000000	4.400000	-0.338100	0.288602
-1.000000	4.600000	-0.320751	0.290264
-1.000000	4.800000	-0.303245	0.289582
-1.000000	5.000000	-0.288310	0.289326
-0.500000	0.200000	-1.000000	0.000002
-0.500000	0.400000	-0.999993	0.001011
-0.500000	0.600000	-0.999120	0.012696
-0.500000	0.800000	-0.993492	0.038189
-0.500000	1.000000	-0.965147	0.094706
-0.500000	1.200000	-0.934401	0.139882
-0.500000	1.400000	-0.817557	0.219114
-0.500000	1.600000	-0.729277	0.264911
-0.500000	1.800000	-0.644837	0.293382
-0.500000	2.000000	-0.566924	0.313896
-0.500000	2.200000	-0.488511	0.321000
-0.500000	2.400000	-0.441000	0.331344
-0.500000	2.600000	-0.384554	0.329512
-0.500000	2.800000	-0.341151	0.325403
-0.500000	3.000000	-0.310077	0.325008
-0.500000	3.200000	-0.282124	0.323312
-0.500000	3.400000	-0.258806	0.321535
-0.500000	3.600000	-0.235293	0.316326
-0.500000	3.800000	-0.217014	0.314392
-0.500000	4.000000	-0.202015	0.312014
-0.500000	4.200000	-0.188807	0.309987
-0.500000	4.400000	-0.177057	0.308250
-0.500000	4.600000	-0.165881	0.305112
-0.500000	4.800000	-0.156011	0.302497
-0.500000	5.000000	-0.148004	0.301273
0.000000	0.200000	-0.163636	0.986521
0.000000	0.400000	-0.129737	0.989759
0.000000	0.600000	-0.114663	0.933323
0.000000	0.800000	-0.103865	0.821674
0.000000	1.000000	0.034873	0.655050
0.000000	1.200000	0.009242	0.558117
0.000000	1.400000	0.000109	0.504572
0.000000	1.600000	0.009083	0.461309
0.000000	1.800000	-0.001893	0.437790
0.000000	2.000000	0.000581	0.412653
0.000000	2.200000	0.001346	0.393291
0.000000	2.400000	-0.000152	0.380630
0.000000	2.600000	-0.001184	0.367130
0.000000	2.800000	-0.000407	0.357183
0.000000	3.000000	-0.001297	0.348315
0.000000	3.200000	-0.000173	0.342582
0.000000	3.400000	-0.000257	0.335722
0.000000	3.600000	-0.000054	0.329416
0.000000	3.800000	0.000075	0.325345
0.000000	4.000000	-0.000325	0.321101
0.000000	4.200000	-0.000220	0.317112
0.000000	4.400000	-0.000368	0.314279
0.000000	4.600000	0.000128	0.310476
0.000000	4.800000	0.000248	0.307794
0.000000	5.000000	-0.000456	0.305343
0.500000	0.200000	1.000000	0.000002
0.500000	0.400000	0.999991	0.001120
0.500000	0.600000	0.999333	0.010992
0.500000	0.800000	0.992538	0.040512
0.500000	1.000000	0.966806	0.092698
0.500000	1.200000	0.922846	0.148268
0.500000	1.400000	0.833517	0.214407
0.500000	1.600000	0.764820	0.261425
0.500000	1.800000	0.657395	0.295665
0.500000	2.000000	0.560468	0.312504
0.500000	2.200000	0.498810	0.324182
0.500000	2.400000	0.438766	0.328956
0.500000	2.600000	0.381868	0.326539
0.500000	2.800000	0.343595	0.326281
0.500000	3.000000	0.306965	0.324076
0.500000	3.200000	0.282938	0.324500
0.500000	3.400000	0.256185	0.319446
0.500000	3.600000	0.235735	0.317383
0.500000	3.800000	0.219284	0.315610
0.500000	4.000000	0.201582	0.311677
0.500000	4.200000	0.187993	0.309461
0.500000	4.400000	0.175733	0.305949
0.500000	4.600000	0.165333	0.304401
0.500000	4.800000	0.156591	0.302789
0.500000	5.000000	0.146596	0.299687
1.000000	0.200000	1.000000	0.000000
1.000000	0.400000	0.999999	0.000324
1.000000	0.600000	0.999890	0.003836
1.000000	0.800000	0.998842	0.013122
1.000000	1.000000	0.992858	0.034120
1.000000	1.200000	0.980218	0.059025
1.000000	1.400000	0.955100	0.092098
1.000000	1.600000	0.921106	0.126462
1.000000	1.800000	0.858656	0.163400
1.000000	2.000000	0.824307	0.191660
1.000000	2.200000	0.737870	0.214366
1.000000	2.400000	0.703345	0.239122
1.000000	2.600000	0.648655	0.253680
1.000000	2.800000	0.598627	0.265121
1.000000	3.000000	0.543200	0.268244
1.000000	3.200000	0.512417	0.280331
1.000000	3.400000	0.472786	0.281390
1.000000	3.600000	0.434179	0.282868
1.000000	3.800000	0.409665	0.287624
1.000000	4.000000	0.387267	0.290551
1.000000	4.200000	0.360127	0.289836
1.000000	4.400000	0.339389	0.289818
1.000000	4.600000	0.319574	0.288995
1.000000	4.800000	0.304403	0.290608
1.000000	5.000000	0.286961	0.288062
