#h	T	<m>	<m>_err
-1.000000	0.200000	-0.249955	0.004764
-1.000000	0.400000	-0.236942	0.098069
-1.000000	0.600000	-0.171449	0.220672
-1.000000	0.800000	-0.453888	0.294733
-1.000000	1.000000	-0.244393	0.052650
-1.000000	1.200000	-0.150332	0.231061
-1.000000	1.400000	-0.172510	0.252973
-1.000000	1.600000	-0.715549	0.165901
-1.000000	1.800000	-0.738582	0.086312
-1.000000	2.000000	-0.639334	0.282130
-1.000000	2.200000	-0.684392	0.168818
-1.000000	2.400000	-0.314046	0.504647
-1.000000	2.600000	-0.679042	0.233772
-1.000000	2.800000	0.212774	0.399811
-1.000000	3.000000	-0.589014	0.245225
-1.000000	3.200000	-0.091017	0.232843
-1.000000	3.400000	-0.611054	0.368077
-1.000000	3.600000	-0.545007	0.386366
-1.000000	3.800000	-0.269040	0.454743
-1.000000	4.000000	0.003443	0.320944
-1.000000	4.200000	0.099127	0.357925
-1.000000	4.400000	-0.563336	0.395348
-1.000000	4.600000	-0.436888	0.387197
-1.000000	4.800000	-0.133784	0.648667
-1.000000	5.000000	-0.290550	0.227417
-1.000000	5.200000	-0.356286	0.469024
-1.000000	5.400000	-0.194446	0.499904
-1.000000	5.600000	-0.183719	0.355525
-1.000000	5.800000	-0.435642	0.404116
-1.000000	6.000000	-0.417171	0.530647
-1.000000	6.200000	-0.481251	0.302792
-1.000000	6.400000	-0.176606	0.457916
-1.000000	6.600000	-0.278179	0.599159
-1.000000	6.800000	-0.059302	0.358398
-1.000000	7.000000	-0.074843	0.581001
-1.000000	7.200000	-0.303725	0.535563
-1.000000	7.400000	-0.481125	0.426302
-1.000000	7.600000	0.146115	0.305380
-1.000000	7.800000	-0.168810	0.342901
-1.000000	8.000000	0.036520	0.331853
-0.500000	0.200000	-0.243263	0.057645
-0.500000	0.400000	-0.749992	0.002046
-0.500000	0.600000	-0.749015	0.038075
-0.500000	0.800000	-0.736233	0.131351
-0.500000	1.000000	0.192568	0.482366
-0.500000	1.200000	-0.668530	0.301205
-0.500000	1.400000	0.308096	0.439992
-0.500000	1.600000	-0.110423	0.410748
-0.500000	1.800000	-0.156052	0.195314
-0.500000	2.000000	-0.598792	0.347293
-0.500000	2.200000	0.073381	0.314594
-0.500000	2.400000	0.105855	0.631150
-0.500000	2.600000	0.510274	0.331570
-0.500000	2.800000	0.133755	0.486299
-0.500000	3.000000	-0.308811	0.525485
-0.500000	3.200000	-0.105547	0.226627
-0.500000	3.400000	0.111849	0.516320
-0.500000	3.600000	-0.213279	0.330971
-0.500000	3.800000	0.094677	0.328995
-0.500000	4.000000	-0.487583	0.460473
