#h	T	<m>	<m>_err
-1.000000	0.200000	-1.000000	0.000000
-1.000000	0.400000	-0.999999	0.000393
-1.000000	0.600000	-0.999904	0.005091
-1.000000	0.800000	-0.998685	0.019668
-1.000000	1.000000	-0.993407	0.046290
-1.000000	1.200000	-0.980130	0.084029
-1.000000	1.400000	-0.955443	0.130352
-1.000000	1.600000	-0.917775	0.180635
-1.000000	1.800000	-0.872568	0.227455
-1.000000	2.000000	-0.817052	0.270773
-1.000000	2.200000	-0.759606	0.307142
-1.000000	2.400000	-0.700735	0.336001
-1.000000	2.600000	-0.648600	0.358157
-1.000000	2.800000	-0.597288	0.374281
-1.000000	3.000000	-0.551063	0.386291
-1.000000	3.200000	-0.511666	0.395233
-1.000000	3.400000	-0.474436	0.401246
-1.000000	3.600000	-0.440590	0.404445
-1.000000	3.800000	-0.411783	0.407580
-1.000000	4.000000	-0.382471	0.407933
-1.000000	4.200000	-0.361105	0.409579
-1.000000	4.400000	-0.338843	0.409685
-1.000000	4.600000	-0.320662	0.409999
-1.000000	4.800000	-0.303966	0.409769
-1.000000	5.000000	-0.288039	0.408694
-0.500000	0.200000	-1.000000	0.000003
-0.500000	0.400000	-0.999991	0.001626
-0.500000	0.600000	-0.999271	0.016499
-0.500000	0.800000	-0.992469	0.059010
-0.500000	1.000000	-0.967128	0.132650
-0.500000	1.200000	-0.913813	0.222041
-0.500000	1.400000	-0.834928	0.306546
-0.500000	1.600000	-0.739846	0.374039
-0.500000	1.800000	-0.652036	0.417121
-0.500000	2.000000	-0.562179	0.443614
-0.500000	2.200000	-0.496163	0.457437
-0.500000	2.400000	-0.432941	0.462980
-0.500000	2.600000	-0.386140	0.464699
-0.500000	2.800000	-0.342846	0.463325
-0.500000	3.000000	-0.308653	0.460040
-0.500000	3.200000	-0.281623	0.456775
-0.500000	3.400000	-0.255787	0.452822
-0.500000	3.600000	-0.236203	0.448960
-0.500000	3.800000	-0.218238	0.445378
-0.500000	4.000000	-0.201432	0.441812
-0.500000	4.200000	-0.189312	0.437929
-0.500000	4.400000	-0.177010	0.434641
-0.500000	4.600000	-0.165791	0.431758
-0.500000	4.800000	-0.156983	0.429095
-0.500000	5.000000	-0.147863	0.425464
0.000000	0.200000	-0.022657	0.999743
0.000000	0.400000	0.001465	0.999522
0.000000	0.600000	-0.017677	0.987009
0.000000	0.800000	0.008955	0.938120
0.000000	1.000000	-0.006370	0.857847
0.000000	1.200000	0.004983	0.774972
0.000000	1.400000	-0.000496	0.707859
0.000000	1.600000	0.002551	0.653428
0.000000	1.800000	0.000440	0.614012
0.000000	2.000000	-0.000415	0.581281
0.000000	2.200000	0.001053	0.556612
0.000000	2.400000	0.000946	0.535989
0.000000	2.600000	-0.000076	0.519775
0.000000	2.800000	-0.001027	0.504659
0.000000	3.000000	-0.000259	0.493411
0.000000	3.200000	-0.000787	0.483706
0.000000	3.400000	0.000605	0.474294
0.000000	3.600000	-0.000558	0.466241
0.000000	3.800000	-0.000089	0.460588
0.000000	4.000000	-0.000180	0.454107
0.000000	4.200000	0.000172	0.448259
0.000000	4.400000	0.000405	0.444081
0.000000	4.600000	0.000451	0.439310
0.000000	4.800000	0.000452	0.435253
0.000000	5.000000	0.000077	0.431869
0.500000	0.200000	1.000000	0.000003
0.500000	0.400000	0.999991	0.001614
0.500000	0.600000	0.999263	0.016586
0.500000	0.800000	0.992253	0.059832
0.500000	1.000000	0.966865	0.133139
0.500000	1.200000	0.914428	0.221311
0.500000	1.400000	0.832558	0.308238
0.500000	1.600000	0.742878	0.372741
0.500000	1.800000	0.648075	0.417536
0.500000	2.000000	0.565520	0.443662
0.500000	2.200000	0.491857	0.458081
0.500000	2.400000	0.434012	0.462894
0.500000	2.600000	0.386312	0.464900
0.500000	2.800000	0.345325	0.463574
0.500000	3.000000	0.309684	0.460756
0.500000	3.200000	0.281015	0.457299
0.500000	3.400000	0.256778	0.453056
0.500000	3.600000	0.235281	0.449057
0.500000	3.800000	0.218443	0.445086
0.500000	4.000000	0.202307	0.441195
0.500000	4.200000	0.188823	0.437626
0.500000	4.400000	0.176834	0.435262
0.500000	4.600000	0.165903	0.431671
0.500000	4.800000	0.156212	0.428884
0.500000	5.000000	0.147683	0.425670
1.000000	0.200000	1.000000	0.000000
1.000000	0.400000	0.999999	0.000396
1.000000	0.600000	0.999902	0.005137
1.000000	0.800000	0.998680	0.019691
1.000000	1.000000	0.993440	0.046171
1.000000	1.200000	0.980199	0.083939
1.000000	1.400000	0.955864	0.129764
1.000000	1.600000	0.918048	0.180460
1.000000	1.800000	0.870243	0.228797
1.000000	2.000000	0.816740	0.271457
1.000000	2.200000	0.759930	0.307131
1.000000	2.400000	0.702199	0.336222
1.000000	2.600000	0.644509	0.357907
1.000000	2.800000	0.598135	0.374267
1.000000	3.000000	0.552636	0.386833
1.000000	3.200000	0.512509	0.395361
1.000000	3.400000	0.474674	0.401053
1.000000	3.600000	0.439824	0.404552
1.000000	3.800000	0.409507	0.406705
1.000000	4.000000	0.384678	0.409059
1.000000	4.200000	0.360664	0.409497
1.000000	4.400000	0.340610	0.410703
1.000000	4.600000	0.319434	0.409403
1.000000	4.800000	0.302969	0.408879
1.000000	5.000000	0.287180	0.408456
