#N	J	<m>	<m>_err	<epsilon>	<epsilon>_err	lofb
15	1.100000	0.884215	0.000797	-0.907751	0.001332	4
15	1.100000	0.884218	0.001068	-0.907758	0.001600	8
15	1.100000	0.884255	0.001414	-0.907867	0.001983	16
15	1.100000	0.884289	0.001799	-0.907843	0.002356	32
15	1.100000	0.884246	0.001912	-0.907848	0.002592	64
15	1.100000	0.884259	0.001979	-0.907842	0.002645	128
15	1.100000	0.884176	0.001721	-0.907955	0.002288	256
15	1.100000	0.883970	0.001733	-0.908112	0.002164	512
15	1.200000	0.903669	0.000888	-0.982238	0.004433	1
15	1.200000	0.903672	0.000513	-0.982274	0.001026	2
15	1.200000	0.903670	0.000706	-0.982249	0.001130	4
15	1.200000	0.903676	0.000922	-0.982268	0.001356	8
15	1.200000	0.903663	0.001203	-0.982259	0.001706	16
15	1.200000	0.903656	0.001491	-0.982295	0.002046	32
15	1.200000	0.903660	0.001744	-0.982276	0.002477	64
15	1.200000	0.903657	0.001861	-0.982295	0.002571	128
15	1.200000	0.903662	0.002016	-0.982676	0.002801	256
15	1.200000	0.903517	0.002689	-0.982582	0.003653	512
15	1.300000	0.924063	0.000699	-1.048329	0.004118	1
15	1.300000	0.924068	0.000419	-1.048331	0.000889	2
15	1.300000	0.924071	0.000556	-1.048334	0.001056	4
15	1.300000	0.924070	0.000744	-1.048338	0.001323	8
15	1.300000	0.924062	0.000998	-1.048329	0.001683	16
15	1.300000	0.924072	0.001251	-1.048328	0.002086	32
15	1.300000	0.924075	0.001587	-1.048312	0.002670	64
15	1.300000	0.924090	0.001829	-1.048340	0.003141	128
15	1.300000	0.923826	0.001962	-1.048628	0.003329	256
15	1.300000	0.924439	0.002038	-1.047794	0.003552	512
15	1.400000	0.936585	0.000641	-1.118857	0.004561	1
15	1.400000	0.936586	0.000385	-1.118890	0.001086	2
15	1.400000	0.936583	0.000517	-1.118899	0.001262	4
15	1.400000	0.936584	0.000699	-1.118907	0.001578	8
15	1.400000	0.936717	0.000916	-1.118646	0.001958	16
15	1.400000	0.936721	0.001127	-1.118702	0.002390	32
15	1.400000	0.936704	0.001371	-1.118693	0.002806	64
15	1.400000	0.936728	0.001395	-1.118650	0.002764	128
15	1.400000	0.936577	0.001518	-1.118785	0.003087	256
15	1.400000	0.936522	0.001780	-1.118829	0.003590	512
15	1.500000	0.947353	0.000618	-1.186290	0.004861	1
15	1.500000	0.947358	0.000452	-1.186299	0.001582	2
15	1.500000	0.947353	0.000598	-1.186326	0.001777	4
15	1.500000	0.947357	0.000774	-1.186302	0.001981	8
15	1.500000	0.947330	0.000975	-1.186392	0.002444	16
15	1.500000	0.947340	0.001133	-1.186339	0.002816	32
15	1.500000	0.947315	0.001509	-1.186329	0.003478	64
15	1.500000	0.947327	0.001600	-1.186368	0.003750	128
15	1.500000	0.947465	0.001617	-1.185898	0.003603	256
15	1.500000	0.947022	0.001595	-1.186729	0.003876	512
15	1.600000	0.957842	0.000469	-1.247801	0.004777	1
15	1.600000	0.957842	0.000328	-1.247811	0.001400	2
15	1.600000	0.957835	0.000428	-1.247808	0.001521	4
15	1.600000	0.957842	0.000560	-1.247799	0.001641	8
15	1.600000	0.957844	0.000675	-1.247775	0.001894	16
15	1.600000	0.957845	0.000741	-1.247792	0.002016	32
15	1.600000	0.957850	0.000757	-1.247780	0.002092	64
15	1.600000	0.957852	0.000791	-1.247816	0.002000	128
15	1.600000	0.958028	0.000863	-1.247447	0.002181	256
15	1.600000	0.958095	0.000890	-1.247639	0.002187	512
15	1.700000	0.965712	0.000381	-1.308091	0.004840	1
15	1.700000	0.965713	0.000250	-1.308113	0.001427	2
15	1.700000	0.965711	0.000321	-1.308116	0.001525	4
15	1.700000	0.965710	0.000410	-1.308102	0.001626	8
15	1.700000	0.965718	0.000506	-1.308040	0.001734	16
15	1.700000	0.965724	0.000552	-1.308043	0.001814	32
15	1.700000	0.965724	0.000583	-1.308030	0.001858	64
15	1.700000	0.965728	0.000567	-1.308051	0.001795	128
15	1.700000	0.965773	0.000384	-1.307688	0.001514	256
15	1.700000	0.965692	0.000529	-1.307221	0.001955	512
15	1.800000	0.971483	0.000343	-1.372754	0.005143	1
15	1.800000	0.971482	0.000251	-1.372773	0.001947	2
15	1.800000	0.971484	0.000316	-1.372763	0.001902	4
15	1.800000	0.971484	0.000392	-1.372772	0.002030	8
15	1.800000	0.971472	0.000465	-1.372680	0.002254	16
15	1.800000	0.971476	0.000498	-1.372657	0.002311	32
15	1.800000	0.971476	0.000532	-1.372681	0.002336	64
15	1.800000	0.971469	0.000538	-1.372705	0.002504	128
15	1.800000	0.971545	0.000579	-1.372457	0.002785	256
15	1.800000	0.971560	0.000447	-1.372394	0.001963	512
15	1.900000	0.976866	0.000277	-1.430773	0.005210	1
15	1.900000	0.976862	0.000193	-1.430823	0.001928	2
15	1.900000	0.976866	0.000232	-1.430819	0.001953	4
15	1.900000	0.976864	0.000273	-1.430808	0.002013	8
15	1.900000	0.976854	0.000299	-1.430870	0.002055	16
15	1.900000	0.976854	0.000320	-1.430871	0.001891	32
15	1.900000	0.976855	0.000299	-1.430882	0.001936	64
15	1.900000	0.976857	0.000318	-1.430857	0.001938	128
15	1.900000	0.976831	0.000326	-1.431191	0.002006	256
15	1.900000	0.976911	0.000329	-1.431021	0.002177	512
15	2.000000	0.980626	0.000245	-1.490294	0.005506	1
15	2.000000	0.980630	0.000173	-1.490317	0.002167	2
15	2.000000	0.980628	0.000215	-1.490314	0.002195	4
15	2.000000	0.980628	0.000262	-1.490346	0.002191	8
15	2.000000	0.980622	0.000302	-1.490313	0.002198	16
15	2.000000	0.980624	0.000316	-1.490258	0.002387	32
15	2.000000	0.980620	0.000318	-1.490299	0.002146	64
15	2.000000	0.980621	0.000274	-1.490311	0.001800	128
15	2.000000	0.980547	0.000322	-1.490527	0.001704	256
15	2.000000	0.980514	0.000231	-1.490894	0.001078	512
20	0.200000	0.539593	0.000990	-0.324295	0.001356	1
20	0.200000	0.539590	0.001135	-0.324298	0.001584	2
20	0.200000	0.539592	0.001301	-0.324296	0.001883	4
20	0.200000	0.539588	0.001463	-0.324336	0.002285	8
20	0.200000	0.539569	0.001613	-0.324298	0.002688	16
20	0.200000	0.539576	0.001658	-0.324279	0.002839	32
20	0.200000	0.539567	0.001864	-0.324312	0.003097	64
20	0.200000	0.539557	0.002054	-0.324318	0.003469	128
20	0.200000	0.539509	0.002328	-0.324195	0.003552	256
20	0.200000	0.539066	0.002647	-0.324025	0.003869	512
20	0.300000	0.580973	0.001264	-0.371518	0.001770	1
20	0.300000	0.580947	0.001502	-0.371505	0.002113	2
20	0.300000	0.580988	0.001720	-0.371491	0.002464	4
20	0.300000	0.580996	0.001970	-0.371505	0.002801	8
