R	T	<W>	var(W)	bin
1	1	4.965076e-01	1.730092e-09	8
1	2	2.592005e-01	5.871323e-11	8
1	3	1.368532e-01	1.287021e-08	8
1	4	7.225753e-02	3.061665e-09	8
2	1	2.593659e-01	8.989594e-09	8
2	2	7.815110e-02	9.581512e-11	8
2	3	2.465165e-02	5.266696e-09	8
2	4	7.751310e-03	1.392509e-09	8
3	1	1.368525e-01	1.981441e-09	8
3	2	2.475018e-02	6.861525e-10	8
3	3	4.869928e-03	8.360748e-11	8
3	4	9.574791e-04	3.676126e-12	8
4	1	7.228501e-02	5.541866e-08	8
4	2	7.923623e-03	1.237118e-09	8
4	3	1.038612e-03	3.462632e-09	8
4	4	5.615300e-05	1.342666e-10	8
1	1	4.964711e-01	6.396910e-09	16
1	2	2.594260e-01	2.371848e-08	16
1	3	1.368239e-01	3.231360e-09	16
1	4	7.226525e-02	2.270534e-08	16
2	1	2.593122e-01	2.005249e-09	16
2	2	7.835324e-02	2.712545e-08	16
2	3	2.452304e-02	7.583891e-09	16
2	4	7.817587e-03	1.139128e-12	16
3	1	1.366463e-01	2.087064e-09	16
3	2	2.453496e-02	2.725007e-09	16
3	3	4.818386e-03	4.886305e-09	16
3	4	9.815141e-04	1.257989e-09	16
4	1	7.233329e-02	2.276182e-09	16
4	2	7.932878e-03	2.796307e-10	16
4	3	1.056411e-03	3.288826e-10	16
4	4	3.132010e-05	7.560218e-11	16
1	1	4.965011e-01	1.528464e-08	32
1	2	2.592896e-01	9.394156e-10	32
1	3	1.369235e-01	1.339313e-08	32
1	4	7.217460e-02	2.721552e-09	32
2	1	2.593420e-01	5.806807e-08	32
2	2	7.854463e-02	1.312084e-09	32
2	3	2.470129e-02	2.942584e-09	32
2	4	7.909901e-03	3.787044e-10	32
3	1	1.367077e-01	1.334411e-08	32
3	2	2.460338e-02	3.150980e-11	32
3	3	4.944757e-03	1.350211e-11	32
3	4	1.010210e-03	7.927986e-09	32
4	1	7.238590e-02	3.298751e-09	32
4	2	7.880693e-03	1.819579e-08	32
4	3	1.041450e-03	2.000004e-10	32
4	4	8.535256e-05	5.600034e-10	32
