bin	<plaq>	var(plaq)
02	3.399112e-01	8.826428e-10
04	3.399121e-01	1.253346e-09
08	3.399131e-01	1.510641e-09
16	3.399143e-01	1.786599e-09
32	3.399111e-01	2.111605e-09
