bin	<plaq>	var(plaq)
02	1.509142e-01	4.186994e-10
04	1.509162e-01	4.674913e-10
08	1.509167e-01	4.157519e-10
16	1.509171e-01	5.287131e-10
32	1.509126e-01	4.622494e-10
