R	T	<W>	var(W)	bin
1	1	3.399378e-01	5.920351e-11	2
1	2	1.162918e-01	4.354926e-09	2
1	3	3.984909e-02	1.098415e-09	2
1	4	1.366580e-02	1.507420e-09	2
2	1	1.162486e-01	2.770754e-09	2
2	2	1.368717e-02	3.380529e-11	2
2	3	1.589704e-03	4.747489e-12	2
2	4	1.831880e-04	2.296315e-09	2
3	1	3.973690e-02	7.561191e-10	2
3	2	1.631954e-03	6.433781e-12	2
3	3	5.322115e-05	6.151766e-10	2
3	4	2.955114e-05	6.188370e-11	2
4	1	1.366232e-02	3.108111e-10	2
4	2	1.910071e-04	1.375850e-10	2
4	3	-6.786642e-06	5.472445e-10	2
4	4	1.940401e-05	7.184601e-10	2
1	1	3.398301e-01	7.521088e-09	4
1	2	1.163413e-01	8.421402e-10	4
1	3	3.984422e-02	3.844470e-12	4
1	4	1.362768e-02	1.159698e-09	4
2	1	1.162527e-01	7.748158e-10	4
2	2	1.374878e-02	2.848728e-10	4
2	3	1.636082e-03	3.466936e-10	4
2	4	1.521090e-04	1.741165e-11	4
3	1	3.978965e-02	7.909544e-10	4
3	2	1.634005e-03	3.456760e-10	4
3	3	5.017494e-05	4.420400e-10	4
3	4	3.889362e-05	4.402354e-10	4
4	1	1.365153e-02	2.366532e-09	4
4	2	1.766838e-04	1.529871e-09	4
4	3	-3.036311e-05	1.621691e-11	4
4	4	-4.455403e-06	3.541393e-09	4
1	1	3.398434e-01	8.091373e-09	8
1	2	1.162711e-01	5.913383e-09	8
1	3	3.983351e-02	1.282628e-10	8
1	4	1.369352e-02	7.880019e-11	8
2	1	1.162584e-01	4.089343e-12	8
2	2	1.372579e-02	1.798269e-10	8
2	3	1.601573e-03	1.963948e-09	8
2	4	1.513811e-04	4.878844e-11	8
3	1	3.978180e-02	2.667278e-10	8
3	2	1.621351e-03	1.134996e-10	8
3	3	5.179622e-05	8.806227e-10	8
3	4	2.272587e-06	2.286423e-09	8
4	1	1.365363e-02	2.630197e-10	8
4	2	1.956306e-04	2.713671e-10	8
4	3	1.752875e-05	1.275161e-09	8
4	4	2.491106e-05	3.723131e-10	8
1	1	3.398702e-01	5.727447e-09	16
1	2	1.162638e-01	6.033577e-09	16
1	3	3.983901e-02	6.372988e-09	16
1	4	1.364994e-02	4.626609e-10	16
2	1	1.161876e-01	1.465749e-08	16
2	2	1.369031e-02	5.796940e-11	16
2	3	1.582085e-03	1.278859e-09	16
2	4	1.672476e-04	2.015828e-10	16
3	1	3.977498e-02	1.198098e-10	16
3	2	1.593651e-03	7.710548e-11	16
3	3	5.689226e-05	2.678497e-11	16
3	4	4.377079e-07	2.656614e-12	16
4	1	1.362136e-02	3.710116e-10	16
4	2	1.783182e-04	2.558128e-12	16
4	3	1.098016e-05	6.440931e-10	16
4	4	2.747600e-05	4.365778e-10	16
1	1	3.398921e-01	2.201259e-10	32
1	2	1.163094e-01	2.073287e-08	32
1	3	3.989160e-02	4.837901e-09	32
1	4	1.366064e-02	3.854396e-12	32
2	1	1.163366e-01	5.908463e-10	32
2	2	1.368760e-02	2.996181e-10	32
2	3	1.592030e-03	1.449238e-09	32
2	4	1.900583e-04	4.109215e-10	32
3	1	3.971451e-02	1.173006e-09	32
3	2	1.605380e-03	5.387653e-11	32
3	3	2.969272e-05	4.232635e-10	32
3	4	9.595936e-06	1.597004e-09	32
4	1	1.362519e-02	1.464054e-10	32
4	2	1.791717e-04	4.353076e-11	32
4	3	1.202962e-05	2.788494e-09	32
4	4	-3.566312e-07	1.359637e-10	32
