R	T	<W>	var(W)	bin
1	1	1.286805e-01	7.489065e-10	2
1	2	1.658959e-02	4.286683e-10	2
1	3	2.188522e-03	9.171151e-10	2
1	4	2.501949e-04	6.561519e-09	2
2	1	1.655215e-02	1.153394e-09	2
2	2	3.067843e-04	3.257302e-09	2
2	3	2.360365e-05	3.177024e-09	2
2	4	-5.514933e-05	3.703336e-10	2
3	1	2.190334e-03	2.754367e-09	2
3	2	8.613418e-06	1.281108e-09	2
3	3	-1.220022e-04	6.700925e-10	2
3	4	3.445222e-05	9.568385e-10	2
4	1	3.658368e-04	2.360537e-09	2
4	2	3.423382e-05	5.014769e-12	2
4	3	-3.281627e-05	2.506454e-10	2
4	4	-2.313899e-05	4.386427e-10	2
1	1	1.286814e-01	1.864356e-08	4
1	2	1.660776e-02	8.774552e-11	4
1	3	2.236410e-03	6.725882e-10	4
1	4	2.711404e-04	4.176833e-11	4
2	1	1.652841e-02	2.823204e-09	4
2	2	2.836900e-04	9.970606e-10	4
2	3	-3.827597e-05	1.298668e-09	4
2	4	-3.824598e-05	1.377184e-09	4
3	1	2.197757e-03	2.573959e-09	4
3	2	-5.803253e-05	1.205974e-09	4
3	3	-6.516592e-05	1.445007e-09	4
3	4	3.423259e-05	6.691265e-11	4
4	1	3.163720e-04	5.310609e-12	4
4	2	1.740143e-05	2.925286e-10	4
4	3	1.253883e-05	4.761452e-09	4
4	4	-3.912757e-05	3.703865e-11	4
1	1	1.287477e-01	1.493286e-09	8
1	2	1.658449e-02	7.091427e-09	8
1	3	2.204801e-03	2.221770e-10	8
1	4	2.358553e-04	1.002449e-09	8
2	1	1.663949e-02	5.742862e-10	8
2	2	2.760255e-04	1.745223e-09	8
2	3	-1.755184e-05	4.111688e-10	8
2	4	-7.354079e-05	5.391513e-11	8
3	1	2.136136e-03	3.541176e-09	8
3	2	-4.305176e-05	2.608987e-10	8
3	3	-2.789094e-05	3.707902e-10	8
3	4	-8.485523e-05	1.083859e-08	8
4	1	2.752792e-04	1.720083e-09	8
4	2	6.565130e-06	4.930170e-10	8
4	3	7.012392e-08	3.528180e-09	8
4	4	-3.246973e-05	1.567295e-09	8
1	1	1.287306e-01	1.252749e-09	16
1	2	1.662569e-02	3.114058e-09	16
1	3	2.176286e-03	4.029381e-10	16
1	4	2.402400e-04	7.524882e-10	16
2	1	1.661182e-02	1.951160e-09	16
2	2	3.036946e-04	1.750817e-09	16
2	3	5.291128e-05	1.636853e-09	16
2	4	2.238111e-06	2.762642e-10	16
3	1	2.157020e-03	7.078574e-09	16
3	2	-7.346530e-05	2.088393e-09	16
3	3	-1.172556e-04	1.324165e-09	16
3	4	-3.294660e-06	1.721615e-09	16
4	1	3.754123e-04	3.333309e-09	16
4	2	-1.214002e-07	1.657442e-09	16
4	3	-2.501468e-05	1.910707e-09	16
4	4	-3.234747e-05	4.957212e-09	16
1	1	1.287222e-01	1.241589e-09	32
1	2	1.662094e-02	7.336487e-10	32
1	3	2.170024e-03	8.511689e-11	32
1	4	2.138249e-04	1.262443e-10	32
2	1	1.659764e-02	6.409215e-11	32
2	2	3.236335e-04	2.619124e-11	32
2	3	3.025503e-05	1.474572e-10	32
2	4	-2.349892e-05	1.254529e-09	32
3	1	2.165987e-03	8.421645e-10	32
3	2	-7.058804e-05	2.775866e-09	32
3	3	1.683776e-05	2.280627e-09	32
3	4	4.292483e-06	1.065652e-09	32
4	1	3.501454e-04	8.252629e-09	32
4	2	2.922786e-05	1.852711e-13	32
4	3	5.276303e-05	2.674167e-09	32
4	4	-4.998192e-05	1.829400e-10	32
