bin	<plaq>	var(plaq)
02	6.705318e-01	4.063447e-09
04	6.705305e-01	7.257962e-09
08	6.705297e-01	6.821306e-09
16	6.705286e-01	1.043591e-08
32	6.705477e-01	9.671724e-09
