R	T	<W>	var(W)	bin
1	1	2.462667e-01	9.865904e-10	2
1	2	6.072451e-02	7.524063e-10	2
1	3	1.495940e-02	5.845402e-10	2
1	4	3.681074e-03	6.300314e-10	2
2	1	6.068813e-02	7.919243e-10	2
2	2	3.739289e-03	5.476343e-10	2
2	3	2.181850e-04	6.108546e-10	2
2	4	-7.166514e-06	5.854580e-10	2
3	1	1.500266e-02	5.915617e-10	2
3	2	2.586851e-04	5.972401e-10	2
3	3	1.801042e-05	5.648607e-10	2
3	4	-3.075384e-05	5.869762e-10	2
4	1	3.659436e-03	5.236689e-10	2
4	2	1.633043e-05	6.863259e-10	2
4	3	-2.554217e-05	5.084035e-10	2
4	4	3.111690e-05	5.728769e-10	2
1	1	2.462660e-01	1.348676e-09	4
1	2	6.072156e-02	8.048599e-10	4
1	3	1.495740e-02	6.266016e-10	4
1	4	3.678735e-03	6.623148e-10	4
2	1	6.068810e-02	9.645990e-10	4
2	2	3.736006e-03	6.221448e-10	4
2	3	2.171728e-04	5.988069e-10	4
2	4	-7.892979e-06	5.714468e-10	4
3	1	1.500764e-02	6.836524e-10	4
3	2	2.575108e-04	5.503464e-10	4
3	3	1.607365e-05	6.310062e-10	4
3	4	-2.816462e-05	6.016567e-10	4
4	1	3.658695e-03	5.220292e-10	4
4	2	1.339222e-05	5.088780e-10	4
4	3	-2.335104e-05	5.306458e-10	4
4	4	2.802987e-05	5.416678e-10	4
1	1	2.462727e-01	1.400130e-09	8
1	2	6.072348e-02	1.057404e-09	8
1	3	1.495978e-02	6.749298e-10	8
1	4	3.681763e-03	7.426861e-10	8
2	1	6.068776e-02	9.247788e-10	8
2	2	3.737101e-03	5.899464e-10	8
2	3	2.169993e-04	5.450530e-10	8
2	4	-7.575331e-06	6.453871e-10	8
3	1	1.500521e-02	6.411739e-10	8
3	2	2.586252e-04	5.957845e-10	8
3	3	1.865672e-05	5.553860e-10	8
3	4	-3.117723e-05	5.858280e-10	8
4	1	3.658658e-03	6.536057e-10	8
4	2	1.640748e-05	6.148339e-10	8
4	3	-2.410277e-05	5.607773e-10	8
4	4	2.895477e-05	5.164900e-10	8
1	1	2.462666e-01	1.231873e-09	16
1	2	6.072305e-02	8.444385e-10	16
1	3	1.495720e-02	7.765266e-10	16
1	4	3.679995e-03	5.447082e-10	16
2	1	6.068782e-02	8.712118e-10	16
2	2	3.739459e-03	6.574267e-10	16
2	3	2.173716e-04	4.913920e-10	16
2	4	-8.486936e-06	6.634616e-10	16
3	1	1.500548e-02	5.635528e-10	16
3	2	2.578232e-04	6.971477e-10	16
3	3	1.951004e-05	5.411140e-10	16
3	4	-3.032334e-05	5.488852e-10	16
4	1	3.660553e-03	6.715733e-10	16
4	2	1.452174e-05	6.428851e-10	16
4	3	-2.573578e-05	4.911533e-10	16
4	4	2.756826e-05	5.287168e-10	16
1	1	2.462680e-01	1.196379e-09	32
1	2	6.072006e-02	8.438749e-10	32
1	3	1.495936e-02	8.502748e-10	32
1	4	3.678293e-03	6.054444e-10	32
2	1	6.068708e-02	8.131584e-10	32
2	2	3.738115e-03	6.054630e-10	32
2	3	2.200103e-04	6.050051e-10	32
2	4	-1.197916e-05	6.073390e-10	32
3	1	1.500697e-02	6.657624e-10	32
3	2	2.594589e-04	6.627737e-10	32
3	3	1.739237e-05	5.599884e-10	32
3	4	-3.207489e-05	5.857308e-10	32
4	1	3.655176e-03	5.491208e-10	32
4	2	1.687973e-05	5.243368e-10	32
4	3	-2.587879e-05	5.133053e-10	32
4	4	2.800939e-05	5.355010e-10	32
