bin	<plaq>	var(plaq)
02	2.462588e-01	5.226445e-10
04	2.462576e-01	5.840446e-10
08	2.462560e-01	7.344418e-10
16	2.462594e-01	7.466292e-10
32	2.462592e-01	7.056842e-10
