bin	<plaq>	var(plaq)
02	3.876095e-01	1.660649e-09
04	3.876083e-01	2.085993e-09
08	3.876063e-01	2.148662e-09
16	3.876043e-01	2.085564e-09
32	3.876063e-01	2.568131e-09
