R	T	<W>	var(W)	bin
1	1	8.100749e-01	2.143732e-09	2
1	2	6.895786e-01	7.498516e-09	2
1	3	5.926140e-01	1.833831e-08	2
1	4	5.103798e-01	3.095091e-08	2
2	1	6.895527e-01	6.284238e-09	2
2	2	5.450245e-01	1.791282e-08	2
2	3	4.440527e-01	3.407993e-08	2
2	4	3.646564e-01	6.005002e-08	2
3	1	5.926447e-01	1.003230e-08	2
3	2	4.440896e-01	2.736904e-08	2
3	3	3.517983e-01	4.424568e-08	2
3	4	2.829446e-01	5.930968e-08	2
4	1	5.105245e-01	1.858218e-08	2
4	2	3.647829e-01	4.089082e-08	2
4	3	2.830762e-01	5.205615e-08	2
4	4	2.249803e-01	8.035490e-08	2
1	1	8.100727e-01	1.747146e-09	4
1	2	6.895753e-01	8.863529e-09	4
1	3	5.926188e-01	2.023074e-08	4
1	4	5.103559e-01	2.804038e-08	4
2	1	6.895505e-01	7.315741e-09	4
2	2	5.450447e-01	1.875783e-08	4
2	3	4.440785e-01	3.907087e-08	4
2	4	3.646575e-01	5.625874e-08	4
3	1	5.926356e-01	1.349297e-08	4
3	2	4.441013e-01	3.050965e-08	4
3	3	3.517991e-01	4.792068e-08	4
3	4	2.829265e-01	7.672120e-08	4
4	1	5.105204e-01	2.254432e-08	4
4	2	3.647855e-01	4.470748e-08	4
4	3	2.830754e-01	7.020559e-08	4
4	4	2.249564e-01	1.026986e-07	4
1	1	8.100778e-01	2.464846e-09	8
1	2	6.895856e-01	1.089850e-08	8
1	3	5.925896e-01	1.737029e-08	8
1	4	5.103741e-01	3.378205e-08	8
2	1	6.895686e-01	8.535043e-09	8
2	2	5.450309e-01	2.674227e-08	8
2	3	4.440686e-01	4.812198e-08	8
2	4	3.646814e-01	8.427116e-08	8
3	1	5.926431e-01	1.746415e-08	8
3	2	4.441355e-01	4.136959e-08	8
3	3	3.518077e-01	8.196404e-08	8
3	4	2.829634e-01	1.303605e-07	8
4	1	5.105051e-01	2.602638e-08	8
4	2	3.647669e-01	6.409435e-08	8
4	3	2.830732e-01	8.304358e-08	8
4	4	2.249814e-01	1.388086e-07	8
1	1	8.100732e-01	2.017321e-09	16
1	2	6.895759e-01	1.026844e-08	16
1	3	5.925951e-01	2.035974e-08	16
1	4	5.103708e-01	3.299058e-08	16
2	1	6.895635e-01	8.664677e-09	16
2	2	5.450459e-01	2.525165e-08	16
2	3	4.440662e-01	6.073812e-08	16
2	4	3.646586e-01	1.132026e-07	16
3	1	5.926397e-01	1.737693e-08	16
3	2	4.440855e-01	4.774295e-08	16
3	3	3.517649e-01	1.098897e-07	16
3	4	2.829436e-01	1.615250e-07	16
4	1	5.104940e-01	2.434666e-08	16
4	2	3.648023e-01	5.600873e-08	16
4	3	2.830785e-01	1.151874e-07	16
4	4	2.249846e-01	1.730354e-07	16
1	1	8.100683e-01	2.761681e-09	32
1	2	6.895726e-01	1.000762e-08	32
1	3	5.925968e-01	2.395645e-08	32
1	4	5.103736e-01	3.455629e-08	32
2	1	6.895655e-01	9.288626e-09	32
2	2	5.450388e-01	3.204226e-08	32
2	3	4.440688e-01	7.544409e-08	32
2	4	3.646020e-01	1.275599e-07	32
3	1	5.926341e-01	1.955553e-08	32
3	2	4.440709e-01	5.626542e-08	32
3	3	3.517429e-01	1.235312e-07	32
3	4	2.830216e-01	1.628534e-07	32
4	1	5.105117e-01	2.477116e-08	32
4	2	3.647693e-01	8.126424e-08	32
4	3	2.830883e-01	1.455068e-07	32
4	4	2.249601e-01	2.599753e-07	32
