R	a	a_err	b	b_err
1	0.948853	0.002291	0.158227	0.002165
2	0.865742	0.006271	0.227749	0.006570
3	0.777575	0.011519	0.272262	0.013016
4	0.697300	0.013952	0.312456	0.018094
#result potentialfit	asquaresigma=	3.306651e-02 +/-	7.057460e-04	b= 	7.271224e-02+/-	1.933104e-03	c=	1.978745e-01 +/-	2.601992e-03	beta=	4.200000	dim=	2	
#a422=0.033067
#b422=0.072712
#c422=0.197875

