R	a	a_err	b	b_err
1	1.000284	0.001811	2.050069	0.001692
2	0.920055	0.018583	4.015662	0.020225
3	0.899675	8.104766	6.037272	9.035687
4	0.005338	0.004859	2.916499	0.907787
#result potentialfit	asquaresigma=	-1.381140e+00 +/-	1.532756e-01	b= 	6.693482e+00+/-	3.070675e-01	c=	1.012469e+01 +/-	4.602848e-01	beta=	2.000000	dim=	3	
#a203=-1.381140
#b203=6.693482
#c203=10.124692

