R	a	a_err	b	b_err
1	0.997325	0.000154	1.233596	0.000125
2	0.993296	0.001382	2.463370	0.001348
3	1.054594	0.025925	3.757765	0.024597
4	1.583361	0.259919	5.395781	0.164594
#result potentialfit	asquaresigma=	1.348936e+00 +/-	6.612081e-02	b= 	-2.383841e-01+/-	1.327111e-01	c=	-3.537245e-01 +/-	1.987986e-01	beta=	4.000000	dim=	3	
#a403=1.348936
#b403=-0.238384
#c403=-0.353725

