bin	<plaq>	var(plaq)
02	5.007459e-01	1.048409e-08
04	5.007441e-01	1.466966e-08
08	5.007589e-01	2.473281e-08
16	5.007309e-01	3.022048e-08
32	5.007579e-01	2.096171e-08
