R	a	a_err	b	b_err
1	0.998156	0.000624	1.889205	0.000561
2	1.049868	0.011557	3.831722	0.011017
3	1.304831	3.403259	5.941686	2.615913
4	0.009987	0.009127	2.947570	0.911457
#result potentialfit	asquaresigma=	-1.156625e+00 +/-	5.189041e-01	b= 	6.198338e+00+/-	1.038341e+00	c=	9.244168e+00 +/-	1.557186e+00	beta=	2.300000	dim=	3	
#a233=-1.156625
#b233=6.198338
#c233=9.244168

