R	a	a_err	b	b_err
1	0.924352	0.003840	0.321250	0.003705
2	0.782690	0.013106	0.483946	0.013011
3	0.641291	0.020011	0.596930	0.025029
4	0.518479	0.028062	0.694916	0.040471
#result potentialfit	asquaresigma=	8.682898e-02 +/-	9.858497e-04	b= 	1.519889e-01+/-	2.635552e-03	c=	3.864082e-01 +/-	3.579240e-03	beta=	2.600000	dim=	2	
#a262=0.086829
#b262=0.151989
#c262=0.386408

