bin	<plaq>	var(plaq)
02	4.965945e-01	2.403771e-09
04	4.965997e-01	5.008607e-09
08	4.965944e-01	7.086651e-09
16	4.966000e-01	1.152537e-08
32	4.966141e-01	1.980717e-08
