R	a	a_err	b	b_err
1	0.934358	0.003072	0.229009	0.002971
2	0.820501	0.009419	0.332630	0.010507
3	0.712445	0.016144	0.412311	0.019357
4	0.598927	0.021384	0.456866	0.030128
#result potentialfit	asquaresigma=	5.247130e-02 +/-	1.120853e-02	b= 	1.055022e-01+/-	3.050742e-02	c=	2.820188e-01 +/-	4.122008e-02	beta=	3.200000	dim=	2	
#a322=0.052471
#b322=0.105502
#c322=0.282019

