bin	<plaq>	var(plaq)
02	2.904701e-01	5.438136e-10
04	2.904710e-01	8.517382e-10
08	2.904726e-01	1.079579e-09
16	2.904733e-01	1.023592e-09
32	2.904747e-01	1.037205e-09
