R	T	<W>	var(W)	bin
1	1	6.705404e-01	1.096773e-09	2
1	2	4.831666e-01	1.219096e-09	2
1	3	3.539181e-01	4.823073e-08	2
1	4	2.600321e-01	8.600247e-08	2
2	1	4.831981e-01	1.188130e-08	2
2	2	2.892206e-01	2.758611e-09	2
2	3	1.835515e-01	8.256400e-08	2
2	4	1.190907e-01	1.079048e-08	2
3	1	3.539811e-01	2.157914e-08	2
3	2	1.839616e-01	1.464939e-08	2
3	3	1.072996e-01	2.425348e-09	2
3	4	6.535606e-02	4.862859e-08	2
4	1	2.603638e-01	4.920086e-08	2
4	2	1.189279e-01	2.125986e-10	2
4	3	6.515021e-02	1.929346e-08	2
4	4	3.815130e-02	8.328423e-08	2
1	1	6.705238e-01	7.521297e-09	4
1	2	4.832667e-01	4.852978e-10	4
1	3	3.537871e-01	5.661108e-13	4
1	4	2.602511e-01	4.909656e-08	4
2	1	4.831329e-01	1.960783e-08	4
2	2	2.890247e-01	4.906115e-08	4
2	3	1.836230e-01	1.086811e-08	4
2	4	1.190173e-01	2.852381e-08	4
3	1	3.540404e-01	1.343904e-09	4
3	2	1.839063e-01	7.708751e-08	4
3	3	1.076255e-01	4.681537e-08	4
3	4	6.541896e-02	9.980860e-08	4
4	1	2.603150e-01	1.802636e-07	4
4	2	1.190886e-01	8.205773e-11	4
4	3	6.532890e-02	9.570821e-09	4
4	4	3.814143e-02	2.049857e-09	4
1	1	6.705862e-01	6.463697e-09	8
1	2	4.831196e-01	9.436105e-10	8
1	3	3.536413e-01	6.025571e-09	8
1	4	2.604977e-01	1.356343e-07	8
2	1	4.828266e-01	4.839631e-10	8
2	2	2.895674e-01	1.747986e-09	8
2	3	1.833717e-01	3.494603e-08	8
2	4	1.192193e-01	2.741345e-09	8
3	1	3.538596e-01	3.173077e-07	8
3	2	1.840808e-01	1.875815e-08	8
3	3	1.076454e-01	2.699850e-08	8
3	4	6.529484e-02	2.475421e-09	8
4	1	2.600763e-01	7.480774e-09	8
4	2	1.191070e-01	5.791657e-08	8
4	3	6.506795e-02	1.880975e-08	8
4	4	3.833339e-02	7.548451e-08	8
1	1	6.704989e-01	2.000822e-08	16
1	2	4.830750e-01	1.433863e-08	16
1	3	3.539542e-01	2.230226e-08	16
1	4	2.601358e-01	6.075790e-10	16
2	1	4.831936e-01	1.816130e-07	16
2	2	2.892949e-01	1.500060e-07	16
2	3	1.837940e-01	8.350723e-11	16
2	4	1.188966e-01	4.373586e-09	16
3	1	3.535696e-01	2.406461e-08	16
3	2	1.839152e-01	4.415618e-07	16
3	3	1.075443e-01	7.939045e-08	16
3	4	6.570244e-02	2.711943e-09	16
4	1	2.601567e-01	2.328174e-09	16
4	2	1.192927e-01	3.387409e-08	16
4	3	6.540113e-02	5.619152e-09	16
4	4	3.819092e-02	1.571637e-07	16
1	1	6.704585e-01	7.023458e-09	32
1	2	4.831543e-01	2.224124e-10	32
1	3	3.537824e-01	2.277658e-08	32
1	4	2.598133e-01	9.741564e-09	32
2	1	4.833013e-01	3.644792e-08	32
2	2	2.891254e-01	7.799432e-08	32
2	3	1.839122e-01	2.511679e-07	32
2	4	1.192415e-01	1.159812e-07	32
3	1	3.540765e-01	5.425889e-08	32
3	2	1.839081e-01	2.778571e-10	32
3	3	1.075063e-01	1.192301e-07	32
3	4	6.539960e-02	1.263507e-07	32
4	1	2.602541e-01	3.092327e-10	32
4	2	1.191282e-01	7.861675e-08	32
4	3	6.501685e-02	8.901948e-08	32
4	4	3.803804e-02	1.306603e-08	32
