R	a	a_err	b	b_err
1	1.000136	0.001043	1.584593	0.000860
2	1.008321	0.007912	3.177233	0.007817
3	0.857789	0.116040	4.599275	0.135565
4	0.067224	0.064288	3.633978	0.957000
#result potentialfit	asquaresigma=	1.192100e+00 +/-	4.535734e-01	b= 	8.015071e-01+/-	9.106916e-01	c=	1.193999e+00 +/-	1.364012e+00	beta=	3.000000	dim=	3	
#a303=1.192100
#b303=0.801507
#c303=1.193999

