R	T	<W>	var(W)	bin
1	1	8.575287e-01	1.005870e-09	2
1	2	7.638910e-01	4.030243e-09	2
1	3	6.853081e-01	1.239121e-08	2
1	4	6.157775e-01	2.075083e-08	2
2	1	7.639326e-01	3.416070e-09	2
2	2	6.467406e-01	1.013884e-08	2
2	3	5.596036e-01	2.467771e-08	2
2	4	4.869689e-01	3.920987e-08	2
3	1	6.853258e-01	7.214715e-09	2
3	2	5.595268e-01	1.967307e-08	2
3	3	4.751919e-01	3.395294e-08	2
3	4	4.080647e-01	5.814027e-08	2
4	1	6.158152e-01	1.135317e-08	2
4	2	4.868485e-01	3.176781e-08	2
4	3	4.080553e-01	3.714731e-08	2
4	4	3.479208e-01	5.371008e-08	2
1	1	8.575304e-01	1.200847e-09	4
1	2	7.638975e-01	6.319784e-09	4
1	3	6.852898e-01	1.204949e-08	4
1	4	6.157773e-01	2.507717e-08	4
2	1	7.639234e-01	4.190991e-09	4
2	2	6.467381e-01	1.496365e-08	4
2	3	5.595934e-01	2.708144e-08	4
2	4	4.869723e-01	4.614964e-08	4
3	1	6.853318e-01	9.183201e-09	4
3	2	5.595153e-01	2.282455e-08	4
3	3	4.752023e-01	4.370270e-08	4
3	4	4.080637e-01	7.942053e-08	4
4	1	6.158217e-01	1.399685e-08	4
4	2	4.868782e-01	4.206341e-08	4
4	3	4.080352e-01	5.697521e-08	4
4	4	3.479707e-01	8.578609e-08	4
1	1	8.575274e-01	1.536204e-09	8
1	2	7.639132e-01	6.290653e-09	8
1	3	6.853232e-01	1.489889e-08	8
1	4	6.157800e-01	2.227274e-08	8
2	1	7.639348e-01	4.484901e-09	8
2	2	6.467279e-01	1.797412e-08	8
2	3	5.595881e-01	3.441335e-08	8
2	4	4.869990e-01	6.201365e-08	8
3	1	6.853304e-01	8.835041e-09	8
3	2	5.595302e-01	2.900084e-08	8
3	3	4.752142e-01	5.550956e-08	8
3	4	4.080873e-01	9.688821e-08	8
4	1	6.158295e-01	1.428595e-08	8
4	2	4.868230e-01	5.560225e-08	8
4	3	4.080471e-01	8.290381e-08	8
4	4	3.479978e-01	1.324458e-07	8
1	1	8.575298e-01	1.326880e-09	16
1	2	7.639093e-01	5.043108e-09	16
1	3	6.852910e-01	1.208687e-08	16
1	4	6.157602e-01	2.580050e-08	16
2	1	7.639170e-01	3.883907e-09	16
2	2	6.467364e-01	1.579213e-08	16
2	3	5.595887e-01	3.339511e-08	16
2	4	4.869559e-01	5.225812e-08	16
3	1	6.853405e-01	1.044765e-08	16
3	2	5.595440e-01	4.481156e-08	16
3	3	4.751815e-01	6.973252e-08	16
3	4	4.080833e-01	1.116810e-07	16
4	1	6.158088e-01	1.692102e-08	16
4	2	4.868425e-01	5.918147e-08	16
4	3	4.080548e-01	9.206026e-08	16
4	4	3.479608e-01	1.550397e-07	16
1	1	8.575297e-01	1.272494e-09	32
1	2	7.638960e-01	5.308183e-09	32
1	3	6.853045e-01	1.302961e-08	32
1	4	6.157612e-01	2.629865e-08	32
2	1	7.639301e-01	4.068125e-09	32
2	2	6.467344e-01	1.687659e-08	32
2	3	5.596008e-01	3.873315e-08	32
2	4	4.869897e-01	6.815783e-08	32
3	1	6.853321e-01	9.900178e-09	32
3	2	5.595307e-01	3.433155e-08	32
3	3	4.751802e-01	7.143522e-08	32
3	4	4.080509e-01	1.140287e-07	32
4	1	6.158094e-01	2.440465e-08	32
4	2	4.868412e-01	6.725936e-08	32
4	3	4.080387e-01	1.217724e-07	32
4	4	3.479427e-01	1.922335e-07	32
