R	a	a_err	b	b_err
1	0.960877	0.001570	0.113836	0.001496
2	0.896824	0.004690	0.160528	0.004806
3	0.828837	0.008364	0.190522	0.008990
4	0.762390	0.012247	0.214517	0.013503
#result potentialfit	asquaresigma=	2.067451e-02 +/-	6.924229e-04	b= 	5.223459e-02+/-	1.893411e-03	c=	1.453945e-01 +/-	2.552275e-03	beta=	5.500000	dim=	2	
#a552=0.020675
#b552=0.052235
#c552=0.145394

