R	a	a_err	b	b_err
1	0.945383	0.003132	0.644382	0.002211
2	0.829069	0.014853	1.168281	0.008269
3	0.716340	0.024703	1.665015	0.018057
4	0.630865	0.029119	2.173679	0.029267
#result potentialfit	asquaresigma=	4.923397e-01 +/-	6.954848e-03	b= 	6.165835e-02+/-	1.797018e-02	c=	2.137092e-01 +/-	2.465575e-02	beta=	5.500000	dim=	3	
#a553=0.492340
#b553=0.061658
#c553=0.213709

