R	T	<W>	var(W)	bin
1	1	2.904589e-01	1.059444e-09	2
1	2	8.459373e-02	9.464170e-10	2
1	3	2.463170e-02	6.567994e-10	2
1	4	7.186709e-03	6.140140e-10	2
2	1	8.457493e-02	9.505248e-10	2
2	2	7.206392e-03	6.419747e-10	2
2	3	6.052880e-04	5.642425e-10	2
2	4	4.118425e-05	5.624667e-10	2
3	1	2.461217e-02	7.045954e-10	2
3	2	5.769658e-04	6.712687e-10	2
3	3	2.082627e-05	5.394223e-10	2
3	4	-2.427129e-05	5.687628e-10	2
4	1	7.176383e-03	6.559230e-10	2
4	2	3.341664e-05	5.712502e-10	2
4	3	6.768797e-06	6.088422e-10	2
4	4	-5.095025e-06	5.566182e-10	2
1	1	2.904615e-01	1.425731e-09	4
1	2	8.459126e-02	1.213254e-09	4
1	3	2.463423e-02	7.586123e-10	4
1	4	7.187167e-03	7.600602e-10	4
2	1	8.457854e-02	1.022907e-09	4
2	2	7.205650e-03	6.804524e-10	4
2	3	6.027212e-04	4.245966e-10	4
2	4	4.035386e-05	5.940920e-10	4
3	1	2.461221e-02	7.242931e-10	4
3	2	5.747746e-04	4.938645e-10	4
3	3	2.007188e-05	5.673713e-10	4
3	4	-2.365793e-05	6.012071e-10	4
4	1	7.180750e-03	5.622844e-10	4
4	2	3.181852e-05	5.703838e-10	4
4	3	1.022317e-05	6.453073e-10	4
4	4	-5.765661e-06	4.502516e-10	4
1	1	2.904616e-01	1.604030e-09	8
1	2	8.459310e-02	1.220598e-09	8
1	3	2.463088e-02	7.375482e-10	8
1	4	7.185500e-03	5.568290e-10	8
2	1	8.457734e-02	9.758964e-10	8
2	2	7.203596e-03	5.857240e-10	8
2	3	6.006265e-04	4.342496e-10	8
2	4	3.819629e-05	6.197402e-10	8
3	1	2.461488e-02	9.775240e-10	8
3	2	5.710223e-04	6.141534e-10	8
3	3	2.015157e-05	6.816404e-10	8
3	4	-2.094596e-05	5.711949e-10	8
4	1	7.175304e-03	6.326192e-10	8
4	2	3.219765e-05	5.220827e-10	8
4	3	6.174075e-06	4.477296e-10	8
4	4	-5.866203e-06	5.557407e-10	8
1	1	2.904591e-01	1.676421e-09	16
1	2	8.459218e-02	1.437003e-09	16
1	3	2.463256e-02	6.933483e-10	16
1	4	7.186460e-03	7.320227e-10	16
2	1	8.457843e-02	1.182987e-09	16
2	2	7.203512e-03	6.488995e-10	16
2	3	6.056574e-04	6.596149e-10	16
2	4	4.142250e-05	6.151013e-10	16
3	1	2.461060e-02	7.197704e-10	16
3	2	5.733134e-04	5.142036e-10	16
3	3	2.154149e-05	5.926037e-10	16
3	4	-2.587081e-05	6.869831e-10	16
4	1	7.178997e-03	6.736872e-10	16
4	2	3.096280e-05	4.757101e-10	16
4	3	9.409084e-06	5.017879e-10	16
4	4	-3.515880e-06	5.453338e-10	16
1	1	2.904659e-01	1.562634e-09	32
1	2	8.459048e-02	1.321089e-09	32
1	3	2.463469e-02	8.243455e-10	32
1	4	7.184894e-03	6.379402e-10	32
2	1	8.457635e-02	1.096427e-09	32
2	2	7.203420e-03	6.208579e-10	32
2	3	6.043223e-04	5.772672e-10	32
2	4	4.140494e-05	6.903487e-10	32
3	1	2.460984e-02	7.193312e-10	32
3	2	5.737541e-04	5.689873e-10	32
3	3	2.053772e-05	4.388557e-10	32
3	4	-2.261399e-05	7.411275e-10	32
4	1	7.181615e-03	6.029260e-10	32
4	2	3.251345e-05	5.466648e-10	32
4	3	7.702882e-06	5.825778e-10	32
4	4	-2.737477e-06	5.960980e-10	32
