R	a	a_err	b	b_err
1	0.967295	0.001718	0.658375	0.001388
2	0.903711	0.008082	1.251794	0.007167
3	0.852480	0.004467	1.848541	0.004313
4	0.770145	0.018853	2.403092	0.022721
#result potentialfit	asquaresigma=	5.855448e-01 +/-	2.159381e-02	b= 	2.493695e-02+/-	6.298067e-02	c=	9.773857e-02 +/-	8.421655e-02	beta=	2.000000	dim=	2	
#a202=0.585545
#b202=0.024937
#c202=0.097739

