bin	<plaq>	var(plaq)
02	2.050599e-01	3.800177e-10
04	2.050559e-01	6.477189e-10
08	2.050539e-01	5.977178e-10
16	2.050546e-01	6.565067e-10
32	2.050551e-01	5.807421e-10
