R	T	<W>	var(W)	bin
1	1	2.050495e-01	7.845903e-12	2
1	2	4.203200e-02	1.954727e-11	2
1	3	8.556292e-03	1.717095e-09	2
1	4	1.804168e-03	1.102783e-10	2
2	1	4.206048e-02	2.588207e-10	2
2	2	1.748445e-03	4.058525e-10	2
2	3	6.846696e-05	1.925515e-10	2
2	4	2.814023e-05	5.588605e-11	2
3	1	8.640366e-03	3.302158e-10	2
3	2	1.014827e-04	4.312287e-12	2
3	3	1.866811e-05	1.293890e-10	2
3	4	1.687651e-05	1.433231e-10	2
4	1	1.761751e-03	7.389465e-11	2
4	2	3.557304e-05	1.777453e-11	2
4	3	-2.902903e-05	1.684654e-10	2
4	4	6.349536e-05	1.660263e-09	2
1	1	2.050675e-01	2.967818e-11	4
1	2	4.204607e-02	1.904611e-10	4
1	3	8.596738e-03	3.067182e-10	4
1	4	1.800332e-03	3.903467e-10	4
2	1	4.204516e-02	2.411719e-10	4
2	2	1.783237e-03	3.670085e-10	4
2	3	4.853664e-05	7.751517e-13	4
2	4	2.471540e-05	4.225110e-10	4
3	1	8.597266e-03	1.319696e-11	4
3	2	6.060713e-05	5.602357e-10	4
3	3	-2.304871e-06	1.297343e-09	4
3	4	-1.221998e-06	1.072470e-09	4
4	1	1.749497e-03	5.248561e-17	4
4	2	8.704834e-05	8.174151e-10	4
4	3	-3.601960e-05	2.046489e-10	4
4	4	4.405395e-05	6.493949e-11	4
1	1	2.050307e-01	5.147997e-09	8
1	2	4.206444e-02	5.490787e-10	8
1	3	8.570181e-03	1.130731e-10	8
1	4	1.805916e-03	1.237095e-09	8
2	1	4.204066e-02	2.591630e-10	8
2	2	1.747066e-03	1.998469e-10	8
2	3	9.499000e-05	1.225106e-11	8
2	4	-8.411968e-06	5.562062e-11	8
3	1	8.609373e-03	6.172867e-14	8
3	2	9.224944e-05	9.766639e-10	8
3	3	2.751079e-05	1.519607e-10	8
3	4	2.831312e-06	3.407164e-10	8
4	1	1.776050e-03	2.210563e-11	8
4	2	4.161849e-05	3.522461e-10	8
4	3	8.213713e-06	7.023584e-12	8
4	4	5.237596e-05	1.859831e-10	8
1	1	2.050563e-01	8.201011e-10	16
1	2	4.203608e-02	2.703164e-10	16
1	3	8.584001e-03	3.533529e-09	16
1	4	1.776641e-03	1.864871e-09	16
2	1	4.204312e-02	1.818927e-10	16
2	2	1.749902e-03	6.573186e-10	16
2	3	9.121562e-05	4.860862e-12	16
2	4	6.285819e-06	3.021824e-09	16
3	1	8.623839e-03	1.277707e-13	16
3	2	1.129970e-04	7.421779e-10	16
3	3	4.002470e-05	1.228855e-10	16
3	4	1.358971e-05	8.971430e-10	16
4	1	1.755650e-03	6.280619e-11	16
4	2	3.527666e-05	3.370612e-12	16
4	3	-3.202750e-05	7.714833e-10	16
4	4	5.344256e-05	7.130198e-11	16
1	1	2.050342e-01	6.909040e-11	32
1	2	4.207025e-02	9.844151e-10	32
1	3	8.576629e-03	9.221160e-10	32
1	4	1.811759e-03	1.335882e-10	32
2	1	4.205277e-02	4.111224e-09	32
2	2	1.745308e-03	5.103130e-10	32
2	3	4.754624e-05	9.937028e-11	32
2	4	-1.878748e-06	1.058839e-10	32
3	1	8.606720e-03	5.111028e-10	32
3	2	7.744263e-05	5.827782e-12	32
3	3	2.215648e-05	4.477360e-10	32
3	4	9.659634e-06	1.759828e-11	32
4	1	1.744775e-03	5.744843e-10	32
4	2	5.249816e-05	1.765121e-10	32
4	3	2.672307e-05	1.094787e-10	32
4	4	5.711551e-05	1.449188e-11	32
