R	T	<W>	var(W)	bin
1	1	7.431885e-01	3.695170e-09	2
1	2	5.885103e-01	1.226610e-08	2
1	3	4.721829e-01	2.542747e-08	2
1	4	3.800938e-01	3.264355e-08	2
2	1	5.885388e-01	8.949096e-09	2
2	2	4.149015e-01	2.887812e-08	2
2	3	3.057534e-01	3.709978e-08	2
2	4	2.280372e-01	5.369559e-08	2
3	1	4.722643e-01	1.733584e-08	2
3	2	3.059518e-01	3.283727e-08	2
3	3	2.151741e-01	4.573441e-08	2
3	4	1.550611e-01	5.255271e-08	2
4	1	3.801664e-01	2.489363e-08	2
4	2	2.283792e-01	4.167266e-08	2
4	3	1.551034e-01	5.270124e-08	2
4	4	1.097237e-01	5.361162e-08	2
1	1	7.431982e-01	4.382020e-09	4
1	2	5.884951e-01	1.672965e-08	4
1	3	4.721771e-01	2.834149e-08	4
1	4	3.800937e-01	4.571153e-08	4
2	1	5.885314e-01	9.276171e-09	4
2	2	4.149005e-01	3.762805e-08	4
2	3	3.057864e-01	4.838144e-08	4
2	4	2.280637e-01	7.264094e-08	4
3	1	4.722706e-01	2.394325e-08	4
3	2	3.059238e-01	4.869280e-08	4
3	3	2.151566e-01	6.175678e-08	4
3	4	1.550483e-01	8.412054e-08	4
4	1	3.801597e-01	3.174964e-08	4
4	2	2.283775e-01	6.217594e-08	4
4	3	1.550853e-01	7.408096e-08	4
4	4	1.096871e-01	6.011533e-08	4
1	1	7.432006e-01	4.203568e-09	8
1	2	5.884953e-01	1.674183e-08	8
1	3	4.722109e-01	3.753730e-08	8
1	4	3.801056e-01	5.048510e-08	8
2	1	5.885430e-01	1.536622e-08	8
2	2	4.149166e-01	3.329197e-08	8
2	3	3.057695e-01	7.218569e-08	8
2	4	2.280215e-01	9.247280e-08	8
3	1	4.722797e-01	2.515049e-08	8
3	2	3.059310e-01	5.320750e-08	8
3	3	2.151423e-01	8.276008e-08	8
3	4	1.550570e-01	1.166653e-07	8
4	1	3.801630e-01	3.631509e-08	8
4	2	2.283588e-01	7.997108e-08	8
4	3	1.550793e-01	1.136759e-07	8
4	4	1.096807e-01	9.745236e-08	8
1	1	7.431862e-01	5.843819e-09	16
1	2	5.885006e-01	2.286208e-08	16
1	3	4.722124e-01	4.843428e-08	16
1	4	3.800708e-01	6.245898e-08	16
2	1	5.885359e-01	1.260983e-08	16
2	2	4.149140e-01	5.698685e-08	16
2	3	3.057661e-01	8.144873e-08	16
2	4	2.280593e-01	1.052481e-07	16
3	1	4.722516e-01	2.234095e-08	16
3	2	3.059705e-01	6.406505e-08	16
3	3	2.151555e-01	9.301413e-08	16
3	4	1.550649e-01	1.254841e-07	16
4	1	3.801275e-01	4.261660e-08	16
4	2	2.284075e-01	8.563299e-08	16
4	3	1.550930e-01	1.233119e-07	16
4	4	1.096951e-01	1.235959e-07	16
1	1	7.432021e-01	5.396569e-09	32
1	2	5.885048e-01	2.007879e-08	32
1	3	4.721969e-01	3.801749e-08	32
1	4	3.800791e-01	5.537614e-08	32
2	1	5.885497e-01	1.263873e-08	32
2	2	4.149071e-01	4.759282e-08	32
2	3	3.057496e-01	8.311715e-08	32
2	4	2.280590e-01	8.490995e-08	32
3	1	4.722842e-01	2.350784e-08	32
3	2	3.059438e-01	5.008319e-08	32
3	3	2.151422e-01	1.053882e-07	32
3	4	1.551015e-01	1.239633e-07	32
4	1	3.801575e-01	3.908727e-08	32
4	2	2.283523e-01	9.140171e-08	32
4	3	1.550675e-01	1.316344e-07	32
4	4	1.096818e-01	1.157400e-07	32
