R	a	a_err	b	b_err
1	0.998960	0.000249	1.400285	0.000212
2	0.985642	0.005265	2.787561	0.005295
3	0.866034	0.093265	4.055410	0.107862
4	0.746545	1.131830	5.319315	1.520067
#result potentialfit	asquaresigma=	1.208566e+00 +/-	2.695266e-03	b= 	3.574195e-01+/-	5.405114e-03	c=	5.491386e-01 +/-	8.099399e-03	beta=	3.500000	dim=	3	
#a353=1.208566
#b353=0.357419
#c353=0.549139

