R	T	<W>	var(W)	bin
1	1	3.876494e-01	2.659393e-09	2
1	2	1.515237e-01	3.563093e-09	2
1	3	5.938592e-02	3.509608e-09	2
1	4	2.329533e-02	3.160348e-09	2
2	1	1.515936e-01	3.041130e-09	2
2	2	2.344319e-02	2.805300e-09	2
2	3	3.747750e-03	2.555855e-09	2
2	4	5.775052e-04	2.336182e-09	2
3	1	5.936691e-02	3.813545e-09	2
3	2	3.689007e-03	2.567558e-09	2
3	3	3.193916e-04	2.634729e-09	2
3	4	2.173185e-06	2.830049e-09	2
4	1	2.330337e-02	3.237149e-09	2
4	2	5.372469e-04	2.696519e-09	2
4	3	-4.802762e-05	2.494818e-09	2
4	4	-2.679813e-05	2.661568e-09	2
1	1	3.876575e-01	3.256204e-09	4
1	2	1.515337e-01	4.401115e-09	4
1	3	5.937663e-02	3.964969e-09	4
1	4	2.329705e-02	3.033766e-09	4
2	1	1.515865e-01	4.599079e-09	4
2	2	2.343901e-02	3.341844e-09	4
2	3	3.748241e-03	2.656158e-09	4
2	4	5.696067e-04	2.790750e-09	4
3	1	5.936910e-02	3.648581e-09	4
3	2	3.686334e-03	2.492020e-09	4
3	3	3.194559e-04	2.555792e-09	4
3	4	4.905856e-06	2.500128e-09	4
4	1	2.329573e-02	3.378562e-09	4
4	2	5.389632e-04	2.306185e-09	4
4	3	-5.053087e-05	2.528452e-09	4
4	4	-2.513184e-05	2.797967e-09	4
1	1	3.876638e-01	3.126106e-09	8
1	2	1.515247e-01	4.603559e-09	8
1	3	5.938222e-02	3.969163e-09	8
1	4	2.328694e-02	3.772838e-09	8
2	1	1.515831e-01	4.344624e-09	8
2	2	2.343769e-02	3.651670e-09	8
2	3	3.750177e-03	2.484933e-09	8
2	4	5.824599e-04	2.211489e-09	8
3	1	5.937148e-02	3.209072e-09	8
3	2	3.689891e-03	2.935965e-09	8
3	3	3.169136e-04	2.492653e-09	8
3	4	-1.850708e-06	2.837130e-09	8
4	1	2.330697e-02	3.873634e-09	8
4	2	5.436438e-04	2.825194e-09	8
4	3	-4.752045e-05	2.548807e-09	8
4	4	-2.435892e-05	2.528270e-09	8
1	1	3.876579e-01	3.007061e-09	16
1	2	1.515262e-01	3.808206e-09	16
1	3	5.938568e-02	2.978937e-09	16
1	4	2.329624e-02	2.665713e-09	16
2	1	1.515990e-01	5.441672e-09	16
2	2	2.343132e-02	3.098873e-09	16
2	3	3.747213e-03	2.512179e-09	16
2	4	5.786862e-04	2.767003e-09	16
3	1	5.935990e-02	3.759201e-09	16
3	2	3.691289e-03	2.770424e-09	16
3	3	3.147068e-04	2.460656e-09	16
3	4	6.348984e-06	2.649771e-09	16
4	1	2.330283e-02	3.617351e-09	16
4	2	5.416633e-04	2.917889e-09	16
4	3	-5.719448e-05	2.555113e-09	16
4	4	-2.107235e-05	2.262959e-09	16
1	1	3.876531e-01	3.512188e-09	32
1	2	1.515327e-01	4.330190e-09	32
1	3	5.938053e-02	3.958610e-09	32
1	4	2.330274e-02	3.587381e-09	32
2	1	1.515988e-01	4.832741e-09	32
2	2	2.344407e-02	3.680224e-09	32
2	3	3.746856e-03	1.855455e-09	32
2	4	5.744959e-04	2.362932e-09	32
3	1	5.936740e-02	3.722188e-09	32
3	2	3.686965e-03	2.711405e-09	32
3	3	3.233692e-04	2.239026e-09	32
3	4	1.325667e-05	2.187076e-09	32
4	1	2.330524e-02	3.113401e-09	32
4	2	5.418297e-04	3.169031e-09	32
4	3	-4.592892e-05	2.647866e-09	32
4	4	-2.253133e-05	2.621518e-09	32
