bin	<plaq>	var(plaq)
02	8.575098e-01	7.030683e-10
04	8.575113e-01	7.904501e-10
08	8.575114e-01	7.202091e-10
16	8.575128e-01	8.265257e-10
32	8.575112e-01	9.797744e-10
