bin	<plaq>	var(plaq)
02	1.287938e-01	4.180618e-10
04	1.287900e-01	4.026017e-10
08	1.287960e-01	3.657981e-10
16	1.287930e-01	4.512584e-10
32	1.287905e-01	3.679086e-10
