bin	<plaq>	var(plaq)
02	7.432094e-01	2.530117e-09
04	7.432119e-01	2.843941e-09
08	7.432131e-01	4.078134e-09
16	7.432160e-01	3.306159e-09
32	7.432098e-01	3.263443e-09
