x	l	dc
-7.500000e-01	0	1.696071e+00
-7.500000e-01	1	9.166415e-01
-7.500000e-01	2	2.822272e-01
-7.500000e-01	3	2.433876e-01
-7.500000e-01	4	3.362323e-01
-7.500000e-01	5	2.864544e-01
-7.500000e-01	6	2.998645e-01
-7.400000e-01	0	1.696071e+00
-7.400000e-01	1	8.845034e-01
-7.400000e-01	2	2.969181e-01
-7.400000e-01	3	2.430584e-01
-7.400000e-01	4	3.394338e-01
-7.400000e-01	5	2.904304e-01
-7.400000e-01	6	3.024194e-01
-7.300000e-01	0	1.696071e+00
-7.300000e-01	1	8.535148e-01
-7.300000e-01	2	3.116290e-01
-7.300000e-01	3	2.432075e-01
-7.300000e-01	4	3.424861e-01
-7.300000e-01	5	2.945669e-01
-7.300000e-01	6	3.050773e-01
-7.200000e-01	0	1.696071e+00
-7.200000e-01	1	8.236757e-01
-7.200000e-01	2	3.263340e-01
-7.200000e-01	3	2.438179e-01
-7.200000e-01	4	3.454073e-01
-7.200000e-01	5	2.988547e-01
-7.200000e-01	6	3.078460e-01
-7.100000e-01	0	1.696071e+00
-7.100000e-01	1	7.949860e-01
-7.100000e-01	2	3.410085e-01
-7.100000e-01	3	2.448738e-01
-7.100000e-01	4	3.482156e-01
-7.100000e-01	5	3.032856e-01
-7.100000e-01	6	3.107329e-01
-7.000000e-01	0	1.696071e+00
-7.000000e-01	1	7.674458e-01
-7.000000e-01	2	3.556292e-01
-7.000000e-01	3	2.463605e-01
-7.000000e-01	4	3.509292e-01
-7.000000e-01	5	3.078517e-01
-7.000000e-01	6	3.137447e-01
-6.900000e-01	0	1.696071e+00
-6.900000e-01	1	7.410551e-01
-6.900000e-01	2	3.701735e-01
-6.900000e-01	3	2.482640e-01
-6.900000e-01	4	3.535663e-01
-6.900000e-01	5	3.125459e-01
-6.900000e-01	6	3.168876e-01
-6.800000e-01	0	1.696071e+00
-6.800000e-01	1	7.158139e-01
-6.800000e-01	2	3.846205e-01
-6.800000e-01	3	2.505716e-01
-6.800000e-01	4	3.561447e-01
-6.800000e-01	5	3.173615e-01
-6.800000e-01	6	3.201674e-01
-6.700000e-01	0	1.696071e+00
-6.700000e-01	1	6.917221e-01
-6.700000e-01	2	3.989500e-01
-6.700000e-01	3	2.532712e-01
-6.700000e-01	4	3.586823e-01
-6.700000e-01	5	3.222926e-01
-6.700000e-01	6	3.235891e-01
-6.600000e-01	0	1.696071e+00
-6.600000e-01	1	6.687798e-01
-6.600000e-01	2	4.131431e-01
-6.600000e-01	3	2.563516e-01
-6.600000e-01	4	3.611968e-01
-6.600000e-01	5	3.273335e-01
-6.600000e-01	6	3.271577e-01
-6.500000e-01	0	1.696071e+00
-6.500000e-01	1	6.469870e-01
-6.500000e-01	2	4.271821e-01
-6.500000e-01	3	2.598023e-01
-6.500000e-01	4	3.637055e-01
-6.500000e-01	5	3.324793e-01
-6.500000e-01	6	3.308773e-01
-6.400000e-01	0	1.696071e+00
-6.400000e-01	1	6.263436e-01
-6.400000e-01	2	4.410503e-01
-6.400000e-01	3	2.636137e-01
-6.400000e-01	4	3.662255e-01
-6.400000e-01	5	3.377256e-01
-6.400000e-01	6	3.347520e-01
-6.300000e-01	0	1.696071e+00
-6.300000e-01	1	6.068497e-01
-6.300000e-01	2	4.547323e-01
-6.300000e-01	3	2.677766e-01
-6.300000e-01	4	3.687735e-01
-6.300000e-01	5	3.430687e-01
-6.300000e-01	6	3.387855e-01
