energy	q	Abs(s)	Arg(s)	Abs(swopm)	Arg(swopm)
 73	1.876565e+00	1.000000e+00	1.748265e+00	1.000000e+00	1.748279e+00
 74	1.889375e+00	1.000000e+00	1.741409e+00	1.000000e+00	1.741423e+00
 75	1.902098e+00	1.000000e+00	1.734616e+00	1.000000e+00	1.734630e+00
 76	1.914736e+00	1.000000e+00	1.727884e+00	1.000000e+00	1.727898e+00
 77	1.927292e+00	1.000000e+00	1.721214e+00	1.000000e+00	1.721228e+00
 78	1.939767e+00	1.000000e+00	1.714605e+00	1.000000e+00	1.714619e+00
 79	1.952162e+00	1.000000e+00	1.708057e+00	1.000000e+00	1.708071e+00
 80	1.964478e+00	1.000000e+00	1.701570e+00	1.000000e+00	1.701584e+00
 81	1.976718e+00	1.000000e+00	1.695143e+00	1.000000e+00	1.695158e+00
 82	1.988883e+00	1.000000e+00	1.688777e+00	1.000000e+00	1.688791e+00
 83	2.000973e+00	1.000000e+00	1.682470e+00	1.000000e+00	1.682484e+00
 84	2.012991e+00	1.000000e+00	1.676223e+00	1.000000e+00	1.676237e+00
 85	2.024938e+00	1.000000e+00	1.670035e+00	1.000000e+00	1.670049e+00
 86	2.036814e+00	1.000000e+00	1.663906e+00	1.000000e+00	1.663920e+00
 87	2.048622e+00	1.000000e+00	1.657835e+00	1.000000e+00	1.657849e+00
 88	2.060362e+00	1.000000e+00	1.651823e+00	1.000000e+00	1.651837e+00
 89	2.072036e+00	1.000000e+00	1.645868e+00	1.000000e+00	1.645883e+00
 90	2.083644e+00	1.000000e+00	1.639972e+00	1.000000e+00	1.639986e+00
 91	2.095188e+00	1.000000e+00	1.634132e+00	1.000000e+00	1.634146e+00
 92	2.106668e+00	1.000000e+00	1.628350e+00	1.000000e+00	1.628364e+00
 93	2.118086e+00	1.000000e+00	1.622624e+00	1.000000e+00	1.622638e+00
 94	2.129444e+00	1.000000e+00	1.616954e+00	1.000000e+00	1.616968e+00
 95	2.140740e+00	1.000000e+00	1.611340e+00	1.000000e+00	1.611354e+00
 96	2.151978e+00	1.000000e+00	1.605782e+00	1.000000e+00	1.605796e+00
 97	2.163157e+00	1.000000e+00	1.600279e+00	1.000000e+00	1.600293e+00
 98	2.174279e+00	1.000000e+00	1.594830e+00	1.000000e+00	1.594844e+00
 99	2.185344e+00	1.000000e+00	1.589436e+00	1.000000e+00	1.589451e+00
100	2.196353e+00	1.000000e+00	1.584096e+00	1.000000e+00	1.584111e+00
101	2.207308e+00	1.000000e+00	1.578810e+00	1.000000e+00	1.578825e+00
102	2.218208e+00	1.000000e+00	1.573578e+00	1.000000e+00	1.573592e+00
103	2.229055e+00	1.000000e+00	1.568398e+00	1.000000e+00	1.568412e+00
104	2.239850e+00	1.000000e+00	1.563270e+00	1.000000e+00	1.563285e+00
105	2.250592e+00	1.000000e+00	1.558195e+00	1.000000e+00	1.558210e+00
106	2.261284e+00	1.000000e+00	1.553172e+00	1.000000e+00	1.553186e+00
107	2.271926e+00	1.000000e+00	1.548200e+00	1.000000e+00	1.548215e+00
108	2.282517e+00	1.000000e+00	1.543280e+00	1.000000e+00	1.543294e+00
109	2.293060e+00	1.000000e+00	1.538410e+00	1.000000e+00	1.538424e+00
110	2.303555e+00	1.000000e+00	1.533590e+00	1.000000e+00	1.533604e+00
111	2.314002e+00	1.000000e+00	1.528820e+00	1.000000e+00	1.528834e+00
112	2.324402e+00	1.000000e+00	1.524100e+00	1.000000e+00	1.524114e+00
113	2.334756e+00	1.000000e+00	1.519429e+00	1.000000e+00	1.519443e+00
114	2.345064e+00	1.000000e+00	1.514806e+00	1.000000e+00	1.514820e+00
115	2.355327e+00	1.000000e+00	1.510232e+00	1.000000e+00	1.510246e+00
116	2.365545e+00	1.000000e+00	1.505706e+00	1.000000e+00	1.505720e+00
117	2.375719e+00	1.000000e+00	1.501228e+00	1.000000e+00	1.501242e+00
118	2.385850e+00	1.000000e+00	1.496796e+00	1.000000e+00	1.496810e+00
119	2.395939e+00	1.000000e+00	1.492412e+00	1.000000e+00	1.492426e+00
120	2.405985e+00	1.000000e+00	1.488074e+00	1.000000e+00	1.488088e+00
121	2.415989e+00	1.000000e+00	1.483781e+00	1.000000e+00	1.483795e+00
122	2.425952e+00	1.000000e+00	1.479535e+00	1.000000e+00	1.479549e+00
123	2.435874e+00	1.000000e+00	1.475334e+00	1.000000e+00	1.475348e+00
124	2.445756e+00	1.000000e+00	1.471177e+00	1.000000e+00	1.471191e+00
125	2.455598e+00	1.000000e+00	1.467065e+00	1.000000e+00	1.467079e+00
126	2.465401e+00	1.000000e+00	1.462997e+00	1.000000e+00	1.463011e+00
127	2.475165e+00	1.000000e+00	1.458973e+00	1.000000e+00	1.458987e+00
128	2.484890e+00	1.000000e+00	1.454992e+00	1.000000e+00	1.455006e+00
129	2.494578e+00	1.000000e+00	1.451054e+00	1.000000e+00	1.451068e+00
130	2.504228e+00	1.000000e+00	1.447158e+00	1.000000e+00	1.447172e+00
131	2.513841e+00	1.000000e+00	1.443305e+00	1.000000e+00	1.443319e+00
132	2.523418e+00	1.000000e+00	1.439493e+00	1.000000e+00	1.439507e+00
133	2.532958e+00	1.000000e+00	1.435722e+00	1.000000e+00	1.435736e+00
134	2.542463e+00	1.000000e+00	1.431993e+00	1.000000e+00	1.432007e+00
135	2.551932e+00	1.000000e+00	1.428304e+00	1.000000e+00	1.428318e+00
136	2.561366e+00	1.000000e+00	1.424655e+00	1.000000e+00	1.424669e+00
137	2.570766e+00	1.000000e+00	1.421047e+00	1.000000e+00	1.421061e+00
138	2.580131e+00	1.000000e+00	1.417477e+00	1.000000e+00	1.417491e+00
139	2.589462e+00	1.000000e+00	1.413947e+00	1.000000e+00	1.413961e+00
140	2.598760e+00	1.000000e+00	1.410455e+00	1.000000e+00	1.410469e+00
141	2.608025e+00	1.000000e+00	1.407002e+00	1.000000e+00	1.407016e+00
142	2.617257e+00	1.000000e+00	1.403586e+00	1.000000e+00	1.403600e+00
143	2.626457e+00	1.000000e+00	1.400209e+00	1.000000e+00	1.400223e+00
144	2.635624e+00	1.000000e+00	1.396868e+00	1.000000e+00	1.396882e+00
145	2.644760e+00	1.000000e+00	1.393564e+00	1.000000e+00	1.393578e+00
146	2.653864e+00	1.000000e+00	1.390297e+00	1.000000e+00	1.390311e+00
147	2.662937e+00	1.000000e+00	1.387066e+00	1.000000e+00	1.387080e+00
148	2.671979e+00	1.000000e+00	1.383870e+00	1.000000e+00	1.383884e+00
149	2.680991e+00	1.000000e+00	1.380710e+00	1.000000e+00	1.380724e+00
150	2.689972e+00	1.000000e+00	1.377585e+00	1.000000e+00	1.377599e+00
151	2.698924e+00	1.000000e+00	1.374495e+00	1.000000e+00	1.374509e+00
152	2.707846e+00	1.000000e+00	1.371439e+00	1.000000e+00	1.371453e+00
153	2.716739e+00	1.000000e+00	1.368417e+00	1.000000e+00	1.368431e+00
154	2.725603e+00	1.000000e+00	1.365429e+00	1.000000e+00	1.365443e+00
155	2.734438e+00	1.000000e+00	1.362474e+00	1.000000e+00	1.362488e+00
156	2.743244e+00	1.000000e+00	1.359552e+00	1.000000e+00	1.359565e+00
157	2.752023e+00	1.000000e+00	1.356662e+00	1.000000e+00	1.356676e+00
158	2.760773e+00	1.000000e+00	1.353805e+00	1.000000e+00	1.353818e+00
159	2.769496e+00	1.000000e+00	1.350979e+00	1.000000e+00	1.350993e+00
160	2.778192e+00	1.000000e+00	1.348185e+00	1.000000e+00	1.348199e+00
