lambda	nx	q	q^2	F
 300	20	0.000000e+00	0.000000e+00	9.999995e-01
 300	20	1.000000e-02	1.000000e-04	9.990729e-01
 300	20	2.000000e-02	4.000000e-04	9.964182e-01
 300	20	3.000000e-02	9.000000e-04	9.922051e-01
 300	20	4.000000e-02	1.600000e-03	9.866013e-01
 300	20	5.000000e-02	2.500000e-03	9.797465e-01
 300	20	6.000000e-02	3.600000e-03	9.717824e-01
 300	20	7.000000e-02	4.900000e-03	9.628334e-01
 300	20	8.000000e-02	6.400000e-03	9.530097e-01
 300	20	9.000000e-02	8.100000e-03	9.424194e-01
 300	20	1.000000e-01	1.000000e-02	9.311607e-01
 300	20	1.100000e-01	1.210000e-02	9.193191e-01
 300	20	1.200000e-01	1.440000e-02	9.069740e-01
 300	20	1.300000e-01	1.690000e-02	8.942008e-01
 300	20	1.400000e-01	1.960000e-02	8.810681e-01
 300	20	1.500000e-01	2.250000e-02	8.676360e-01
 300	20	1.600000e-01	2.560000e-02	8.539591e-01
 300	20	1.700000e-01	2.890000e-02	8.400881e-01
 300	20	1.800000e-01	3.240000e-02	8.260701e-01
 300	20	1.900000e-01	3.610000e-02	8.119473e-01
 300	20	2.000000e-01	4.000000e-02	7.977572e-01
 300	20	2.100000e-01	4.410000e-02	7.835331e-01
 300	20	2.200000e-01	4.840000e-02	7.693053e-01
 300	20	2.300000e-01	5.290000e-02	7.551019e-01
 300	20	2.400000e-01	5.760000e-02	7.409482e-01
 300	20	2.500000e-01	6.250000e-02	7.268669e-01
 300	20	2.600000e-01	6.760000e-02	7.128774e-01
 300	20	2.700000e-01	7.290000e-02	6.989971e-01
 300	20	2.800000e-01	7.840000e-02	6.852411e-01
 300	20	2.900000e-01	8.410000e-02	6.716235e-01
 300	20	3.000000e-01	9.000000e-02	6.581567e-01
 300	20	3.100000e-01	9.610000e-02	6.448516e-01
 300	20	3.200000e-01	1.024000e-01	6.317174e-01
 300	20	3.300000e-01	1.089000e-01	6.187620e-01
 300	20	3.400000e-01	1.156000e-01	6.059919e-01
 300	20	3.500000e-01	1.225000e-01	5.934125e-01
 300	20	3.600000e-01	1.296000e-01	5.810286e-01
 300	20	3.700000e-01	1.369000e-01	5.688443e-01
 300	20	3.800000e-01	1.444000e-01	5.568626e-01
 300	20	3.900000e-01	1.521000e-01	5.450862e-01
 300	20	4.000000e-01	1.600000e-01	5.335167e-01
 300	20	4.100000e-01	1.681000e-01	5.221552e-01
 300	20	4.200000e-01	1.764000e-01	5.110022e-01
 300	20	4.300000e-01	1.849000e-01	5.000575e-01
 300	20	4.400000e-01	1.936000e-01	4.893209e-01
 300	20	4.500000e-01	2.025000e-01	4.787916e-01
 300	20	4.600000e-01	2.116000e-01	4.684687e-01
 300	20	4.700000e-01	2.209000e-01	4.583509e-01
 300	20	4.800000e-01	2.304000e-01	4.484367e-01
 300	20	4.900000e-01	2.401000e-01	4.387241e-01
 300	20	5.000000e-01	2.500000e-01	4.292112e-01
 300	20	5.100000e-01	2.601000e-01	4.198955e-01
 300	20	5.200000e-01	2.704000e-01	4.107745e-01
 300	20	5.300000e-01	2.809000e-01	4.018456e-01
 300	20	5.400000e-01	2.916000e-01	3.931062e-01
 300	20	5.500000e-01	3.025000e-01	3.845534e-01
 300	20	5.600000e-01	3.136000e-01	3.761845e-01
 300	20	5.700000e-01	3.249000e-01	3.679965e-01
 300	20	5.800000e-01	3.364000e-01	3.599864e-01
 300	20	5.900000e-01	3.481000e-01	3.521513e-01
 300	20	6.000000e-01	3.600000e-01	3.444879e-01
 300	20	6.100000e-01	3.721000e-01	3.369932e-01
 300	20	6.200000e-01	3.844000e-01	3.296641e-01
 300	20	6.300000e-01	3.969000e-01	3.224972e-01
 300	20	6.400000e-01	4.096000e-01	3.154895e-01
 300	20	6.500000e-01	4.225000e-01	3.086378e-01
 300	20	6.600000e-01	4.356000e-01	3.019391e-01
 300	20	6.700000e-01	4.489000e-01	2.953903e-01
 300	20	6.800000e-01	4.624000e-01	2.889883e-01
 300	20	6.900000e-01	4.761000e-01	2.827300e-01
 300	20	7.000000e-01	4.900000e-01	2.766126e-01
 300	20	7.100000e-01	5.041000e-01	2.706329e-01
 300	20	7.200000e-01	5.184000e-01	2.647880e-01
 300	20	7.300000e-01	5.329000e-01	2.590750e-01
 300	20	7.400000e-01	5.476000e-01	2.534910e-01
 300	20	7.500000e-01	5.625000e-01	2.480332e-01
 300	20	7.600000e-01	5.776000e-01	2.426986e-01
 300	20	7.700000e-01	5.929000e-01	2.374847e-01
 300	20	7.800000e-01	6.084000e-01	2.323886e-01
 300	20	7.900000e-01	6.241000e-01	2.274078e-01
 300	20	8.000000e-01	6.400000e-01	2.225396e-01
 300	20	8.100000e-01	6.561000e-01	2.177815e-01
 300	20	8.200000e-01	6.724000e-01	2.131311e-01
 300	20	8.300000e-01	6.889000e-01	2.085858e-01
 300	20	8.400000e-01	7.056000e-01	2.041433e-01
 300	20	8.500000e-01	7.225000e-01	1.998012e-01
 300	20	8.600000e-01	7.396000e-01	1.955572e-01
 300	20	8.700000e-01	7.569000e-01	1.914089e-01
 300	20	8.800000e-01	7.744000e-01	1.873541e-01
 300	20	8.900000e-01	7.921000e-01	1.833907e-01
 300	20	9.000000e-01	8.100000e-01	1.795164e-01
 300	20	9.100000e-01	8.281000e-01	1.757293e-01
 300	20	9.200000e-01	8.464000e-01	1.720273e-01
 300	20	9.300000e-01	8.649000e-01	1.684084e-01
 300	20	9.400000e-01	8.836000e-01	1.648707e-01
 300	20	9.500000e-01	9.025000e-01	1.614123e-01
 300	20	9.600000e-01	9.216000e-01	1.580313e-01
 300	20	9.700000e-01	9.409000e-01	1.547260e-01
 300	20	9.800000e-01	9.604000e-01	1.514945e-01
 300	20	9.900000e-01	9.801000e-01	1.483352e-01
 300	20	1.000000e+00	1.000000e+00	1.452462e-01
 300	20	1.100000e+00	1.210000e+00	1.178833e-01
 300	20	1.200000e+00	1.440000e+00	9.596884e-02
 300	20	1.300000e+00	1.690000e+00	7.835895e-02
 300	20	1.400000e+00	1.960000e+00	6.416021e-02
 300	20	1.500000e+00	2.250000e+00	5.267274e-02
 300	20	1.600000e+00	2.560000e+00	4.334905e-02
 300	20	1.700000e+00	2.890000e+00	3.575750e-02
 300	20	1.800000e+00	3.240000e+00	2.955864e-02
 300	20	1.900000e+00	3.610000e+00	2.448271e-02
 300	20	2.000000e+00	4.000000e+00	2.031546e-02
 300	20	2.100000e+00	4.410000e+00	1.688639e-02
 300	20	2.200000e+00	4.840000e+00	1.405789e-02
 300	20	2.300000e+00	5.290000e+00	1.172009e-02
 300	20	2.400000e+00	5.760000e+00	9.784287e-03
 300	20	2.500000e+00	6.250000e+00	8.178129e-03
 300	20	2.600000e+00	6.760000e+00	6.843337e-03
 300	20	2.700000e+00	7.290000e+00	5.732506e-03
 300	20	2.800000e+00	7.840000e+00	4.806561e-03
 300	20	2.900000e+00	8.410000e+00	4.033625e-03
 300	20	3.000000e+00	9.000000e+00	3.387767e-03
 300	20	3.100000e+00	9.610000e+00	2.847476e-03
 300	20	3.200000e+00	1.024000e+01	2.394915e-03
 300	20	3.300000e+00	1.089000e+01	2.015463e-03
 300	20	3.400000e+00	1.156000e+01	1.697111e-03
 300	20	3.500000e+00	1.225000e+01	1.429799e-03
 300	20	3.600000e+00	1.296000e+01	1.205119e-03
 300	20	3.700000e+00	1.369000e+01	1.016116e-03
 300	20	3.800000e+00	1.444000e+01	8.570693e-04
 300	20	3.900000e+00	1.521000e+01	7.231770e-04
 300	20	4.000000e+00	1.600000e+01	6.103835e-04
 300	20	4.100000e+00	1.681000e+01	5.152915e-04
 300	20	4.200000e+00	1.764000e+01	4.350853e-04
 300	20	4.300000e+00	1.849000e+01	3.674324e-04
 300	20	4.400000e+00	1.936000e+01	3.103598e-04
 300	20	4.500000e+00	2.025000e+01	2.621916e-04
 300	20	4.600000e+00	2.116000e+01	2.215141e-04
 300	20	4.700000e+00	2.209000e+01	1.871481e-04
 300	20	4.800000e+00	2.304000e+01	1.581164e-04
 300	20	4.900000e+00	2.401000e+01	1.335959e-04
 300	20	5.000000e+00	2.500000e+01	1.128849e-04
 300	20	5.100000e+00	2.601000e+01	9.538570e-05
 300	20	5.200000e+00	2.704000e+01	8.059326e-05
 300	20	5.300000e+00	2.809000e+01	6.808569e-05
 300	20	5.400000e+00	2.916000e+01	5.751263e-05
 300	20	5.500000e+00	3.025000e+01	4.857854e-05
 300	20	5.600000e+00	3.136000e+01	4.103102e-05
 300	20	5.700000e+00	3.249000e+01	3.465444e-05
 300	20	5.800000e+00	3.364000e+01	2.926544e-05
 300	20	5.900000e+00	3.481000e+01	2.470940e-05
 300	20	6.000000e+00	3.600000e+01	2.085750e-05
 300	20	6.100000e+00	3.721000e+01	1.760250e-05
 300	20	6.200000e+00	3.844000e+01	1.485346e-05
 300	20	6.300000e+00	3.969000e+01	1.253254e-05
 300	20	6.400000e+00	4.096000e+01	1.057334e-05
 300	20	6.500000e+00	4.225000e+01	8.919181e-06
 300	20	6.600000e+00	4.356000e+01	7.521993e-06
 300	20	6.700000e+00	4.489000e+01	6.341631e-06
 300	20	6.800000e+00	4.624000e+01	5.344823e-06
 300	20	6.900000e+00	4.761000e+01	4.503610e-06
 300	20	7.000000e+00	4.900000e+01	3.794148e-06
 300	20	7.100000e+00	5.041000e+01	3.196085e-06
 300	20	7.200000e+00	5.184000e+01	2.692056e-06
 300	20	7.300000e+00	5.329000e+01	2.267204e-06
 300	20	7.400000e+00	5.476000e+01	1.908914e-06
 300	20	7.500000e+00	5.625000e+01	1.606654e-06
 300	20	7.600000e+00	5.776000e+01	1.351738e-06
 300	20	7.700000e+00	5.929000e+01	1.136900e-06
 300	20	7.800000e+00	6.084000e+01	9.559739e-07
 300	20	7.900000e+00	6.241000e+01	8.037267e-07
 300	20	8.000000e+00	6.400000e+01	6.756788e-07
 300	20	8.100000e+00	6.561000e+01	5.680049e-07
 300	20	8.200000e+00	6.724000e+01	4.774344e-07
 300	20	8.300000e+00	6.889000e+01	4.012044e-07
 300	20	8.400000e+00	7.056000e+01	3.370096e-07
 300	20	8.500000e+00	7.225000e+01	2.829684e-07
 300	20	8.600000e+00	7.396000e+01	2.375060e-07
 300	20	8.700000e+00	7.569000e+01	1.992875e-07
 300	20	8.800000e+00	7.744000e+01	1.671924e-07
 300	20	8.900000e+00	7.921000e+01	1.402605e-07
 300	20	9.000000e+00	8.100000e+01	1.176689e-07
 300	20	9.100000e+00	8.281000e+01	9.871697e-08
 300	20	9.200000e+00	8.464000e+01	8.280975e-08
 300	20	9.300000e+00	8.649000e+01	6.944787e-08
 300	20	9.400000e+00	8.836000e+01	5.821662e-08
 300	20	9.500000e+00	9.025000e+01	4.878151e-08
 300	20	9.600000e+00	9.216000e+01	4.086051e-08
 300	20	9.700000e+00	9.409000e+01	3.421522e-08
 300	20	9.800000e+00	9.604000e+01	2.864633e-08
 300	20	9.900000e+00	9.801000e+01	2.398404e-08
 300	20	1.000000e+01	1.000000e+02	2.008219e-08
 400	20	0.000000e+00	0.000000e+00	9.999995e-01
 400	20	1.000000e-02	1.000000e-04	9.990924e-01
 400	20	2.000000e-02	4.000000e-04	9.964933e-01
 400	20	3.000000e-02	9.000000e-04	9.923675e-01
 400	20	4.000000e-02	1.600000e-03	9.868791e-01
 400	20	5.000000e-02	2.500000e-03	9.801642e-01
 400	20	6.000000e-02	3.600000e-03	9.723613e-01
 400	20	7.000000e-02	4.900000e-03	9.635920e-01
 400	20	8.000000e-02	6.400000e-03	9.539638e-01
 400	20	9.000000e-02	8.100000e-03	9.435824e-01
 400	20	1.000000e-01	1.000000e-02	9.325437e-01
 400	20	1.100000e-01	1.210000e-02	9.209314e-01
 400	20	1.200000e-01	1.440000e-02	9.088229e-01
 400	20	1.300000e-01	1.690000e-02	8.962921e-01
 400	20	1.400000e-01	1.960000e-02	8.834060e-01
 400	20	1.500000e-01	2.250000e-02	8.702235e-01
 400	20	1.600000e-01	2.560000e-02	8.567979e-01
 400	20	1.700000e-01	2.890000e-02	8.431788e-01
 400	20	1.800000e-01	3.240000e-02	8.294124e-01
 400	20	1.900000e-01	3.610000e-02	8.155401e-01
 400	20	2.000000e-01	4.000000e-02	8.015986e-01
 400	20	2.100000e-01	4.410000e-02	7.876204e-01
 400	20	2.200000e-01	4.840000e-02	7.736353e-01
 400	20	2.300000e-01	5.290000e-02	7.596709e-01
 400	20	2.400000e-01	5.760000e-02	7.457522e-01
 400	20	2.500000e-01	6.250000e-02	7.319011e-01
 400	20	2.600000e-01	6.760000e-02	7.181369e-01
 400	20	2.700000e-01	7.290000e-02	7.044767e-01
 400	20	2.800000e-01	7.840000e-02	6.909354e-01
 400	20	2.900000e-01	8.410000e-02	6.775268e-01
 400	20	3.000000e-01	9.000000e-02	6.642632e-01
 400	20	3.100000e-01	9.610000e-02	6.511553e-01
 400	20	3.200000e-01	1.024000e-01	6.382123e-01
 400	20	3.300000e-01	1.089000e-01	6.254418e-01
 400	20	3.400000e-01	1.156000e-01	6.128504e-01
 400	20	3.500000e-01	1.225000e-01	6.004436e-01
 400	20	3.600000e-01	1.296000e-01	5.882261e-01
 400	20	3.700000e-01	1.369000e-01	5.762018e-01
 400	20	3.800000e-01	1.444000e-01	5.643741e-01
 400	20	3.900000e-01	1.521000e-01	5.527454e-01
 400	20	4.000000e-01	1.600000e-01	5.413175e-01
 400	20	4.100000e-01	1.681000e-01	5.300916e-01
 400	20	4.200000e-01	1.764000e-01	5.190681e-01
 400	20	4.300000e-01	1.849000e-01	5.082471e-01
 400	20	4.400000e-01	1.936000e-01	4.976284e-01
 400	20	4.500000e-01	2.025000e-01	4.872113e-01
 400	20	4.600000e-01	2.116000e-01	4.769950e-01
 400	20	4.700000e-01	2.209000e-01	4.669783e-01
 400	20	4.800000e-01	2.304000e-01	4.571597e-01
 400	20	4.900000e-01	2.401000e-01	4.475376e-01
 400	20	5.000000e-01	2.500000e-01	4.381099e-01
 400	20	5.100000e-01	2.601000e-01	4.288743e-01
 400	20	5.200000e-01	2.704000e-01	4.198286e-01
 400	20	5.300000e-01	2.809000e-01	4.109702e-01
 400	20	5.400000e-01	2.916000e-01	4.022965e-01
 400	20	5.500000e-01	3.025000e-01	3.938049e-01
 400	20	5.600000e-01	3.136000e-01	3.854926e-01
 400	20	5.700000e-01	3.249000e-01	3.773570e-01
 400	20	5.800000e-01	3.364000e-01	3.693951e-01
 400	20	5.900000e-01	3.481000e-01	3.616040e-01
 400	20	6.000000e-01	3.600000e-01	3.539808e-01
 400	20	6.100000e-01	3.721000e-01	3.465223e-01
 400	20	6.200000e-01	3.844000e-01	3.392256e-01
 400	20	6.300000e-01	3.969000e-01	3.320876e-01
 400	20	6.400000e-01	4.096000e-01	3.251052e-01
 400	20	6.500000e-01	4.225000e-01	3.182755e-01
 400	20	6.600000e-01	4.356000e-01	3.115953e-01
 400	20	6.700000e-01	4.489000e-01	3.050619e-01
 400	20	6.800000e-01	4.624000e-01	2.986721e-01
 400	20	6.900000e-01	4.761000e-01	2.924232e-01
 400	20	7.000000e-01	4.900000e-01	2.863121e-01
 400	20	7.100000e-01	5.041000e-01	2.803361e-01
 400	20	7.200000e-01	5.184000e-01	2.744921e-01
 400	20	7.300000e-01	5.329000e-01	2.687774e-01
 400	20	7.400000e-01	5.476000e-01	2.631891e-01
 400	20	7.500000e-01	5.625000e-01	2.577246e-01
 400	20	7.600000e-01	5.776000e-01	2.523810e-01
 400	20	7.700000e-01	5.929000e-01	2.471558e-01
 400	20	7.800000e-01	6.084000e-01	2.420463e-01
 400	20	7.900000e-01	6.241000e-01	2.370499e-01
 400	20	8.000000e-01	6.400000e-01	2.321642e-01
 400	20	8.100000e-01	6.561000e-01	2.273866e-01
 400	20	8.200000e-01	6.724000e-01	2.227148e-01
 400	20	8.300000e-01	6.889000e-01	2.181463e-01
 400	20	8.400000e-01	7.056000e-01	2.136789e-01
 400	20	8.500000e-01	7.225000e-01	2.093103e-01
 400	20	8.600000e-01	7.396000e-01	2.050380e-01
 400	20	8.700000e-01	7.569000e-01	2.008601e-01
 400	20	8.800000e-01	7.744000e-01	1.967742e-01
 400	20	8.900000e-01	7.921000e-01	1.927782e-01
 400	20	9.000000e-01	8.100000e-01	1.888701e-01
 400	20	9.100000e-01	8.281000e-01	1.850478e-01
 400	20	9.200000e-01	8.464000e-01	1.813094e-01
 400	20	9.300000e-01	8.649000e-01	1.776530e-01
 400	20	9.400000e-01	8.836000e-01	1.740765e-01
 400	20	9.500000e-01	9.025000e-01	1.705784e-01
 400	20	9.600000e-01	9.216000e-01	1.671566e-01
 400	20	9.700000e-01	9.409000e-01	1.638095e-01
 400	20	9.800000e-01	9.604000e-01	1.605354e-01
 400	20	9.900000e-01	9.801000e-01	1.573324e-01
 400	20	1.000000e+00	1.000000e+00	1.541991e-01
 400	20	1.100000e+00	1.210000e+00	1.263547e-01
 400	20	1.200000e+00	1.440000e+00	1.039140e-01
 400	20	1.300000e+00	1.690000e+00	8.575894e-02
 400	20	1.400000e+00	1.960000e+00	7.101410e-02
 400	20	1.500000e+00	2.250000e+00	5.899215e-02
 400	20	1.600000e+00	2.560000e+00	4.915394e-02
 400	20	1.700000e+00	2.890000e+00	4.107317e-02
 400	20	1.800000e+00	3.240000e+00	3.441348e-02
 400	20	1.900000e+00	3.610000e+00	2.890670e-02
 400	20	2.000000e+00	4.000000e+00	2.433899e-02
 400	20	2.100000e+00	4.410000e+00	2.053948e-02
 400	20	2.200000e+00	4.840000e+00	1.736969e-02
 400	20	2.300000e+00	5.290000e+00	1.471848e-02
 400	20	2.400000e+00	5.760000e+00	1.249569e-02
 400	20	2.500000e+00	6.250000e+00	1.062735e-02
 400	20	2.600000e+00	6.760000e+00	9.053551e-03
 400	20	2.700000e+00	7.290000e+00	7.725237e-03
 400	20	2.800000e+00	7.840000e+00	6.601701e-03
 400	20	2.900000e+00	8.410000e+00	5.649501e-03
 400	20	3.000000e+00	9.000000e+00	4.841225e-03
 400	20	3.100000e+00	9.610000e+00	4.153947e-03
 400	20	3.200000e+00	1.024000e+01	3.568491e-03
 400	20	3.300000e+00	1.089000e+01	3.069006e-03
 400	20	3.400000e+00	1.156000e+01	2.642346e-03
 400	20	3.500000e+00	1.225000e+01	2.277382e-03
 400	20	3.600000e+00	1.296000e+01	1.964716e-03
 400	20	3.700000e+00	1.369000e+01	1.696497e-03
 400	20	3.800000e+00	1.444000e+01	1.466187e-03
 400	20	3.900000e+00	1.521000e+01	1.268230e-03
 400	20	4.000000e+00	1.600000e+01	1.097873e-03
 400	20	4.100000e+00	1.681000e+01	9.510842e-04
 400	20	4.200000e+00	1.764000e+01	8.244805e-04
 400	20	4.300000e+00	1.849000e+01	7.152158e-04
 400	20	4.400000e+00	1.936000e+01	6.208450e-04
 400	20	4.500000e+00	2.025000e+01	5.392580e-04
 400	20	4.600000e+00	2.116000e+01	4.686485e-04
 400	20	4.700000e+00	2.209000e+01	4.074875e-04
 400	20	4.800000e+00	2.304000e+01	3.544849e-04
 400	20	4.900000e+00	2.401000e+01	3.085329e-04
 400	20	5.000000e+00	2.500000e+01	2.686691e-04
 400	20	5.100000e+00	2.601000e+01	2.340580e-04
 400	20	5.200000e+00	2.704000e+01	2.039821e-04
 400	20	5.300000e+00	2.809000e+01	1.778306e-04
 400	20	5.400000e+00	2.916000e+01	1.550850e-04
 400	20	5.500000e+00	3.025000e+01	1.352974e-04
 400	20	5.600000e+00	3.136000e+01	1.180767e-04
 400	20	5.700000e+00	3.249000e+01	1.030810e-04
 400	20	5.800000e+00	3.364000e+01	9.001388e-05
 400	20	5.900000e+00	3.481000e+01	7.862027e-05
 400	20	6.000000e+00	3.600000e+01	6.868250e-05
 400	20	6.100000e+00	3.721000e+01	6.001395e-05
 400	20	6.200000e+00	3.844000e+01	5.245202e-05
 400	20	6.300000e+00	3.969000e+01	4.585376e-05
 400	20	6.400000e+00	4.096000e+01	4.009407e-05
 400	20	6.500000e+00	4.225000e+01	3.506383e-05
 400	20	6.600000e+00	4.356000e+01	3.066829e-05
 400	20	6.700000e+00	4.489000e+01	2.682617e-05
 400	20	6.800000e+00	4.624000e+01	2.346769e-05
 400	20	6.900000e+00	4.761000e+01	2.053222e-05
 400	20	7.000000e+00	4.900000e+01	1.796644e-05
 400	20	7.100000e+00	5.041000e+01	1.572345e-05
 400	20	7.200000e+00	5.184000e+01	1.376216e-05
 400	20	7.300000e+00	5.329000e+01	1.204654e-05
 400	20	7.400000e+00	5.476000e+01	1.054516e-05
 400	20	7.500000e+00	5.625000e+01	9.230937e-06
 400	20	7.600000e+00	5.776000e+01	8.080567e-06
 400	20	7.700000e+00	5.929000e+01	7.073756e-06
 400	20	7.800000e+00	6.084000e+01	6.192688e-06
 400	20	7.900000e+00	6.241000e+01	5.421713e-06
 400	20	8.000000e+00	6.400000e+01	4.747033e-06
 400	20	8.100000e+00	6.561000e+01	4.156530e-06
 400	20	8.200000e+00	6.724000e+01	3.639547e-06
 400	20	8.300000e+00	6.889000e+01	3.186779e-06
 400	20	8.400000e+00	7.056000e+01	2.790157e-06
 400	20	8.500000e+00	7.225000e+01	2.442753e-06
 400	20	8.600000e+00	7.396000e+01	2.138512e-06
 400	20	8.700000e+00	7.569000e+01	1.872111e-06
 400	20	8.800000e+00	7.744000e+01	1.638903e-06
 400	20	8.900000e+00	7.921000e+01	1.434774e-06
 400	20	9.000000e+00	8.100000e+01	1.256096e-06
 400	20	9.100000e+00	8.281000e+01	1.099675e-06
 400	20	9.200000e+00	8.464000e+01	9.627049e-07
 400	20	9.300000e+00	8.649000e+01	8.427332e-07
 400	20	9.400000e+00	8.836000e+01	7.376255e-07
 400	20	9.500000e+00	9.025000e+01	6.455582e-07
 400	20	9.600000e+00	9.216000e+01	5.649300e-07
 400	20	9.700000e+00	9.409000e+01	4.943329e-07
 400	20	9.800000e+00	9.604000e+01	4.325393e-07
 400	20	9.900000e+00	9.801000e+01	3.784666e-07
 400	20	1.000000e+01	1.000000e+02	3.311551e-07
 500	20	0.000000e+00	0.000000e+00	9.999995e-01
 500	20	1.000000e-02	1.000000e-04	9.990959e-01
 500	20	2.000000e-02	4.000000e-04	9.965068e-01
 500	20	3.000000e-02	9.000000e-04	9.923970e-01
 500	20	4.000000e-02	1.600000e-03	9.869296e-01
 500	20	5.000000e-02	2.500000e-03	9.802402e-01
 500	20	6.000000e-02	3.600000e-03	9.724668e-01
 500	20	7.000000e-02	4.900000e-03	9.637304e-01
 500	20	8.000000e-02	6.400000e-03	9.541380e-01
 500	20	9.000000e-02	8.100000e-03	9.437949e-01
 500	20	1.000000e-01	1.000000e-02	9.327966e-01
 500	20	1.100000e-01	1.210000e-02	9.212264e-01
 500	20	1.200000e-01	1.440000e-02	9.091615e-01
 500	20	1.300000e-01	1.690000e-02	8.966755e-01
 500	20	1.400000e-01	1.960000e-02	8.838349e-01
 500	20	1.500000e-01	2.250000e-02	8.706986e-01
 500	20	1.600000e-01	2.560000e-02	8.573195e-01
 500	20	1.700000e-01	2.890000e-02	8.437473e-01
 500	20	1.800000e-01	3.240000e-02	8.300277e-01
 500	20	1.900000e-01	3.610000e-02	8.162021e-01
 500	20	2.000000e-01	4.000000e-02	8.023070e-01
 500	20	2.100000e-01	4.410000e-02	7.883748e-01
 500	20	2.200000e-01	4.840000e-02	7.744353e-01
 500	20	2.300000e-01	5.290000e-02	7.605159e-01
 500	20	2.400000e-01	5.760000e-02	7.466413e-01
 500	20	2.500000e-01	6.250000e-02	7.328338e-01
 500	20	2.600000e-01	6.760000e-02	7.191123e-01
 500	20	2.700000e-01	7.290000e-02	7.054938e-01
 500	20	2.800000e-01	7.840000e-02	6.919934e-01
 500	20	2.900000e-01	8.410000e-02	6.786247e-01
 500	20	3.000000e-01	9.000000e-02	6.654000e-01
 500	20	3.100000e-01	9.610000e-02	6.523299e-01
 500	20	3.200000e-01	1.024000e-01	6.394236e-01
 500	20	3.300000e-01	1.089000e-01	6.266889e-01
 500	20	3.400000e-01	1.156000e-01	6.141322e-01
 500	20	3.500000e-01	1.225000e-01	6.017590e-01
 500	20	3.600000e-01	1.296000e-01	5.895739e-01
 500	20	3.700000e-01	1.369000e-01	5.775810e-01
 500	20	3.800000e-01	1.444000e-01	5.657836e-01
 500	20	3.900000e-01	1.521000e-01	5.541841e-01
 500	20	4.000000e-01	1.600000e-01	5.427843e-01
 500	20	4.100000e-01	1.681000e-01	5.315854e-01
 500	20	4.200000e-01	1.764000e-01	5.205879e-01
 500	20	4.300000e-01	1.849000e-01	5.097919e-01
 500	20	4.400000e-01	1.936000e-01	4.991970e-01
 500	20	4.500000e-01	2.025000e-01	4.888028e-01
 500	20	4.600000e-01	2.116000e-01	4.786084e-01
 500	20	4.700000e-01	2.209000e-01	4.686126e-01
 500	20	4.800000e-01	2.304000e-01	4.588140e-01
 500	20	4.900000e-01	2.401000e-01	4.492108e-01
 500	20	5.000000e-01	2.500000e-01	4.398011e-01
 500	20	5.100000e-01	2.601000e-01	4.305827e-01
 500	20	5.200000e-01	2.704000e-01	4.215532e-01
 500	20	5.300000e-01	2.809000e-01	4.127101e-01
 500	20	5.400000e-01	2.916000e-01	4.040510e-01
 500	20	5.500000e-01	3.025000e-01	3.955730e-01
 500	20	5.600000e-01	3.136000e-01	3.872737e-01
 500	20	5.700000e-01	3.249000e-01	3.791501e-01
 500	20	5.800000e-01	3.364000e-01	3.711995e-01
 500	20	5.900000e-01	3.481000e-01	3.634190e-01
 500	20	6.000000e-01	3.600000e-01	3.558055e-01
 500	20	6.100000e-01	3.721000e-01	3.483562e-01
 500	20	6.200000e-01	3.844000e-01	3.410679e-01
 500	20	6.300000e-01	3.969000e-01	3.339376e-01
 500	20	6.400000e-01	4.096000e-01	3.269623e-01
 500	20	6.500000e-01	4.225000e-01	3.201389e-01
 500	20	6.600000e-01	4.356000e-01	3.134646e-01
 500	20	6.700000e-01	4.489000e-01	3.069364e-01
 500	20	6.800000e-01	4.624000e-01	3.005513e-01
 500	20	6.900000e-01	4.761000e-01	2.943065e-01
 500	20	7.000000e-01	4.900000e-01	2.881989e-01
 500	20	7.100000e-01	5.041000e-01	2.822258e-01
 500	20	7.200000e-01	5.184000e-01	2.763843e-01
 500	20	7.300000e-01	5.329000e-01	2.706716e-01
 500	20	7.400000e-01	5.476000e-01	2.650849e-01
 500	20	7.500000e-01	5.625000e-01	2.596214e-01
 500	20	7.600000e-01	5.776000e-01	2.542784e-01
 500	20	7.700000e-01	5.929000e-01	2.490534e-01
 500	20	7.800000e-01	6.084000e-01	2.439436e-01
 500	20	7.900000e-01	6.241000e-01	2.389465e-01
 500	20	8.000000e-01	6.400000e-01	2.340597e-01
 500	20	8.100000e-01	6.561000e-01	2.292807e-01
 500	20	8.200000e-01	6.724000e-01	2.246071e-01
 500	20	8.300000e-01	6.889000e-01	2.200365e-01
 500	20	8.400000e-01	7.056000e-01	2.155666e-01
 500	20	8.500000e-01	7.225000e-01	2.111951e-01
 500	20	8.600000e-01	7.396000e-01	2.069197e-01
 500	20	8.700000e-01	7.569000e-01	2.027383e-01
 500	20	8.800000e-01	7.744000e-01	1.986486e-01
 500	20	8.900000e-01	7.921000e-01	1.946487e-01
 500	20	9.000000e-01	8.100000e-01	1.907362e-01
 500	20	9.100000e-01	8.281000e-01	1.869094e-01
 500	20	9.200000e-01	8.464000e-01	1.831662e-01
 500	20	9.300000e-01	8.649000e-01	1.795047e-01
 500	20	9.400000e-01	8.836000e-01	1.759230e-01
 500	20	9.500000e-01	9.025000e-01	1.724193e-01
 500	20	9.600000e-01	9.216000e-01	1.689918e-01
 500	20	9.700000e-01	9.409000e-01	1.656387e-01
 500	20	9.800000e-01	9.604000e-01	1.623584e-01
 500	20	9.900000e-01	9.801000e-01	1.591492e-01
