
#2	N_bs	<m>	<m>_err
2	0.492412	0.003535
4	0.493928	0.001943
8	0.492602	0.001390
16	0.492935	0.001414
32	0.492652	0.001013
64	0.492972	0.001150
128	0.493085	0.001404
256	0.492855	0.001293
512	0.493005	0.001342
1024	0.492892	0.001317
2048	0.492949	0.001296
4096	0.492910	0.001320
8192	0.492913	0.001284
16384	0.492931	0.001315
32768	0.492910	0.001303
65536	0.492915	0.001309

#4	N_bs	<m>	<m>_err
2	0.493015	0.004016
4	0.492059	0.001616
8	0.493836	0.002052
16	0.492210	0.001066
32	0.492803	0.002026
64	0.492861	0.001797
128	0.492728	0.001875
256	0.492814	0.001747
512	0.492959	0.001660
1024	0.492993	0.001702
2048	0.492917	0.001736
4096	0.492918	0.001789
8192	0.492891	0.001751
16384	0.492923	0.001737
32768	0.492923	0.001758
65536	0.492918	0.001754

#8	N_bs	<m>	<m>_err
2	0.491139	0.002399
4	0.494032	0.003377
8	0.492718	0.001427
16	0.492932	0.002221
32	0.492862	0.002495
64	0.493342	0.002262
128	0.492675	0.002216
256	0.492982	0.002178
512	0.492870	0.002347
1024	0.493043	0.002248
2048	0.492862	0.002235
4096	0.492943	0.002235
8192	0.492905	0.002236
16384	0.492896	0.002252
32768	0.492906	0.002256
65536	0.492912	0.002273

#16	N_bs	<m>	<m>_err
2	0.494543	0.005118
4	0.494847	0.002821
8	0.494102	0.001946
16	0.492830	0.002019
32	0.492180	0.001733
64	0.493039	0.002892
128	0.492975	0.002843
256	0.492640	0.002602
512	0.492821	0.002676
1024	0.492973	0.002752
2048	0.492887	0.002732
4096	0.492882	0.002763
8192	0.492902	0.002735
16384	0.492899	0.002750
32768	0.492924	0.002749
65536	0.492922	0.002730

#32	N_bs	<m>	<m>_err
2	0.495039	0.003904
4	0.490233	0.001851
8	0.493313	0.002181
16	0.492322	0.003875
32	0.493578	0.003355
64	0.493631	0.003141
128	0.492474	0.003095
256	0.492783	0.003082
512	0.492921	0.003140
1024	0.493055	0.003143
2048	0.492838	0.003089
4096	0.492914	0.003105
8192	0.492964	0.003138
16384	0.492931	0.003089
32768	0.492902	0.003099
65536	0.492909	0.003093

#64	N_bs	<m>	<m>_err
2	0.492938	0.002352
4	0.490355	0.001997
8	0.494469	0.003332
16	0.494445	0.002505
32	0.492343	0.003176
64	0.492507	0.003106
128	0.492820	0.003692
256	0.493297	0.003264
512	0.492783	0.003405
1024	0.492873	0.003404
2048	0.492983	0.003335
4096	0.492907	0.003428
8192	0.492866	0.003339
16384	0.492905	0.003362
32768	0.492914	0.003369
65536	0.492903	0.003344
